Term,Term-id,Term-frequency
pimpbut,5142,1
graduation,5072,1
absolute,4761,1
#electionclass,59,4
sensitive,1874,1
candidates,340,59
dismissed,5314,1
#shishkabob,8353,1
contrary,4625,1
rates,1928,9
graduating,4363,2
rawest,8357,1
medium,7751,1
michigan,7724,1
truthometer,6446,1
facial,580,6
invested,7591,1
beeni,7377,1
#keepanopenmind,7051,1
brotha,4588,1
rated,7638,2
ignorante,2972,1
ive,5358,4
elementary,6660,1
oneyear,5955,1
reasonableness,4483,1
cartoon,3009,1
shoved,5967,2
must,1342,40
aheadlooking,3376,1
recycles,5975,1
soot,1450,1
curious,1576,4
friends,589,12
cars,773,1
care,186,53
card,376,7
bho's,6890,1
#fuckthisguy,4133,1
mute,4375,5
ion,1568,4
xmen,3275,1
agreed,3056,8
freaks,5988,1
spare,6510,1
cart,7712,1
excommunicate,3699,1
stimulus#,3412,1
filmed,8394,1
cast,4577,1
inflatable,7287,1
cash,8466,2
batman#fail,8388,1
case,2341,8
thumb,5492,2
extreamly,6818,1
song,2079,6
walking,7550,1
irs,7197,1
dickish,2295,1
emboldened,4029,1
vasy,7758,1
togas,5018,1
singapore,3193,1
44th,5735,1
tvfirst,1574,6
cats,3362,1
ish,808,1
commentary,2718,2
legalize,2585,2
agrees,2868,3
drill,1549,2
pague,3946,1
irks,16,4
shuddering,7414,1
hahahah,7333,1
advantages,4086,3
recycled,7590,1
2morrow,4026,1
strength,5307,2
wrestling,5493,1
#ftw,3422,1
helped,2835,7
sooo,2426,1
#pdamerica,6023,1
soon,3650,6
outfits,6503,2
unsurprisingly,8205,1
#cronyism,5250,1
sons,6683,2
pipeline,1693,7
masturbator,2739,1
#gopwatchparty,4186,5
giant,5034,2
everything,1232,38
feels,2369,5
zero,6441,2
#prezdebate,3222,1
draw,7239,1
semiotics,5685,1
championed,7744,1
solo,6744,2
oligarca,6292,1
drive,1110,4
shotgun,3871,1
slows,8391,1
working,133,17
compelling,8062,1
sold,2593,3
leaning,4220,1
autos,5637,1
punditry,6644,1
stalin,7001,1
disrespecting,4334,1
matters,2298,3
jets,5056,1
#potus,477,10
cans,3339,2
visual,8021,1
negros,5694,1
#getoutandvote,7499,1
cant,837,25
jeta,6291,1
proposing,7035,1
baddest,4947,1
crackin,6813,2
dance,2166,3
culvers,1659,1
ranking,36,1
culture,3370,1
molester,7822,1
stream,1939,11
obeezy,5501,3
lmaoooo,5013,2
#dontcare,2995,1
losers,6969,1
shuttered,7688,1
prof,4311,1
revert,6240,1
#fuobama,6640,1
annually,2026,1
#hatepolitics,892,1
presidencial,4546,5
prob,2671,4
escogi,8468,1
jerk,3822,2
hallmark,2008,1
verbal,7811,1
remind,3283,5
fixing,55,4
shhhwe've,3612,1
brother,5416,4
postcolor,4990,1
#ibadan,8260,1
iyi,8090,2
liblies,6854,1
#stoptalking,2996,1
posts,1136,3
sawwas,5774,1
#passion,6894,1
sources,3862,11
welfareu,3538,1
contrast,2721,2
debateits,4931,1
funk,7425,1
lunches,8111,1
startups,2719,2
butchering,7171,1
