Term,Term-id,Term-frequency
ab,5324,2
forget,1260,16
ah,5438,10
yah,5719,3
af,760,13
growth,5101,7
nt,4659,2
#amen,3966,3
economyyyy,1810,1
dems,692,7
supreme,5464,2
grinch,7691,7
it#debates,4147,1
infront,10414,1
jim's,3565,4
door,2679,5
election#debates,10587,1
netanyahu,8183,1
ny,8390,2
bother,1498,4
eitherhe,1324,1
forgotten,3196,5
pwning,536,1
himis,5107,1
oblong,10387,1
dangerfield,8285,1
om,8510,1
#pdslive,8444,1
kiddd,7398,1
#god,9094,1
tuition,3352,5
ok,1078,34
ied's,9971,1
grandmah,9165,1
ol,2902,7
commercial,1731,13
fxck,7790,2
oh,990,92
texts,755,2
windsor,7488,2
#shevotes,4693,5
op,9469,1
maybe,1103,34
oo,1595,2
#republicans,909,3
commitment,3472,5
#denverdabate,9276,1
cliff,2587,2
done,368,104
himhe,7192,1
#fuckoff,2271,1
questions,1068,48
nooooooboodyyyyy,2706,1
board,2525,17
attending,8809,1
commend,8289,1
pursuit,2267,18
oz,8803,1
#gtfoh,8836,1
melol,9708,1
enhances,1431,8
priorities,3333,1
pg,7638,1
ijs,3126,3
fears,2038,1
dont,400,87
seper,10394,1
crossed,6465,1
yikes,7134,1
#jokes,8567,1
comment,2728,10
small,3072,12
fastest,10485,1
wisely,6632,1
lo,2740,2
plant,2134,2
settling,7094,1
plans,643,128
spouted,7059,1
yeaaaahhhhh,7596,1
specifics,153,27
crew,7443,2
tlkin,6190,1
strait,5114,1
fairness,1116,2
aside,1339,10
detector,6255,1
researching,6146,2
planall,7246,1
shipped,8942,1
ma,323,19
disinterested,8256,1
unbelievable,5299,2
rebate,6239,3
mf,1485,6
goodrephrase,8449,1
situation,3177,6
#newsroom,5696,1
mi,4513,1
#staystrong,9178,1
disagreeing,316,1
dope,2792,2
mo,1641,2
mr,939,95
oorp,4116,2
mt,1467,12
ms,2101,4
vague,2385,12
extension,10709,1
backdoor,9168,1
na,3216,5
plane,10171,1
teaching,3912,3
halfsmile,10493,1
route,9739,1
nd,568,15
governmentlook,9192,1
nonsmall,9969,1
nobdy,6388,1
accross,5019,1
nj,6389,2
creo,2730,2
puff,10631,1
sovereignmajority,10198,1
imo,3741,1
#freejimlehrer,8383,1
reveal,6776,3
governmentobama,10338,1
technology,8347,1
jw,1955,1
#sorrymitt,6748,1
jr,5768,1
imp,2741,1
#andersoncooperanyone,9448,1
cousin,10170,1
negatives,8260,4
bracket,9143,2
jm,7110,1
chinese,8640,2
love,280,185
lifeline,4765,1
ke,10674,1
ind,8956,1
raped,5893,2
trail,8676,1
train,6656,3
#truthhurts,2380,1
conservatives,3578,4
cesar,9655,1
arguement,8098,1
#bestrong,9560,1
combining,10036,1
everywhere,8311,1
stature,5522,1
lots,4221,10
side's,10217,1
glance,6362,1
ins,2371,4
ko,7830,1
belang,8143,1
omega,3670,1
mcconnell,5604,2
con's,4673,1
kn,9162,1
li,3194,1
lk,2865,1
loud,1149,9
challenged,4275,2
le,1973,5
homework,293,61
la,54,12
lb,8045,1
challenger,2437,6
obamacare's,10425,1
smirks,7178,2
hr,2693,2
hjem,8508,1
hs,3857,1
parents,913,13
lost,436,37
hq,4663,1
2tie,10327,1
loss,9325,1
hw,10714,1
ht,6871,1
#flatline,786,1
referral,5342,1
wernt,5544,1
dome,9417,1
#realtalk,8866,1
#tldr,6625,1
douchebagery,8661,1
touts,3372,2
drift,3909,1
hi,4250,4
directtocamera,1441,1
id,4826,6
shitton,386,1
pompos,6787,1
ig,6501,1
ain't,967,64
#homerun,2923,1
subsidiesand,5056,1
cooperation,5564,1
#moniqueformoderator,6109,1
pakai,7477,1
smirky,7063,1
ikr,6686,1
#prettypowerful,4197,1
#mittromney,600,59
agenda,4761,3
doll,77,2
ill,2677,14
iv,10421,1
ii,7103,2
#why,6539,1
eschools,7501,1
ik,2716,2
smash,2942,2
quoted,5647,2
#gop,1242,28
il,4286,1
weakest,5408,1
know,236,328
rapid,3289,2
insomnia,10354,1
#robot,1530,1
knot,3644,4
io,4290,1
ima,2817,16
lose,1760,23
#obama2k12,6859,1
twenty,7771,2
fixes,2751,1
quotes,4460,5
blue,865,27
dega,7465,1
hostile,5683,1
iz,10295,1
ily,7534,1
genderparty,945,1
smart,1550,30
premiums,3906,3
whoopty,10678,1
greater,6728,3
mofos,2770,1
knew,615,16
winner,2793,11
lmaooo,2775,8
ostrander,5231,1
haha#debate,7752,1
ready,777,26
encouraging,7081,1
spot,1985,10
c'mon,1822,11
ww,8107,1
clint,9920,2
cayman,271,6
dntt,3444,1
virginia,9537,1
forgot,1947,6
place,96,44
serious,1044,12
slack,8391,1
#confused,2154,3
xd,3801,3
presidentyall,9427,1
wh,7963,2
snitched,6158,1
isnt,2533,6
contractsproperty,4100,1
wo,6034,4
papa,4574,1
youmitt,3277,1
wt,8340,1
loan,6420,1
#greatmovieideas,9512,1
devo,4288,1
cookie,462,10
pure,3689,3
indulgent,5361,1
vz,10508,1
habeas,8175,3
hot,4726,8
load,8601,1
#dosomeresearch,4134,1
wa,7816,2
hoo,1892,1
hop,6879,1
abandoned,10466,1
climb,1896,2
etch,1418,1
fuckin,2862,14
wasteful,6271,1
give,309,117
theaters,4792,1
frusterated,6947,1
vs,1656,38
brought,609,36
vp,8193,2
#immigration,2042,1
punk,4457,3
eats,4785,3
governor's,10247,1
opportunityit,6361,1
hoe,2118,8
executed,8266,1
critical,9837,1
speakm,10448,1
failuresget,367,1
easy,3679,12
speakn,10509,1
etbu,9688,1
ve,58,1
vc,1941,1
entitlement,8361,1
#newpresident,2055,1
downgrade,3731,1
scratch,801,4
entitled,5185,10
uk,7776,2
#cowantstoknow,866,1
outward,1164,1
estamos,8029,1
park,3394,4
previous,4172,6
trips,5875,3
uh,1245,33
foxnews,6959,1
ur,3063,25
electing,4423,3
front,1404,16
us,517,231
#twitternewschat,9305,1
speaks,2322,33
um,2093,28
un,120,5
para,2103,5
yall,876,31
trailthat,2995,1
weeks,5367,4
ty,6035,2
field,1130,7
tx,9766,1
enterprises,4804,1
strutting,10658,1
orphan,8842,1
#ohwell,8463,1
lmaort,5218,1
nigga,98,107
modeling,7782,1
pistol,3185,1
tv,625,32
hmm,4411,6
#wontbepretty,4941,1
marionettes,9923,1
impressive,4135,4
part,1434,36
ya'll,928,7
incumbent,2535,2
deported,2070,2
#rambling,7269,1
happens,425,7
#essencedebate,3676,5
pwned,5919,1
responds,4276,2
tl,1545,33
arsenal,6919,2
huh,4370,5
presidentso,8933,1
pull,3106,16
tp,8593,1
disappearing,7153,1
unarmed,9776,1
tf,2969,17
te,8870,2
round,2590,9
hub,7433,1
td,1401,1
bathroom,9497,1
poorly,7539,1
recliner,6423,1
ti,1686,1
sorority,9155,1
amount,5088,6
#romneyforpresident,10114,1
conservative,1280,5
icky,5427,1
su,60,4
ss,6359,1
dept,2606,2
st,3910,5
votante,926,1
welcome,3531,5
reallyyyy,4103,1
barack's,3814,1
mismanaged,8434,2
text,7843,1
#isupport,7919,1
narrator,7021,1
mexico,10097,1
impression,7773,2
mf'syeah,5545,1
sc,2619,1
burying,3381,2
#obvious,5415,1
providing,9109,3
se,57,4
layoffs,6825,4
sh,1148,3
later#debates,9941,1
reduce,7637,1
hablando,6698,1
si,2099,1
input,9940,1
counting,484,4
jameson,5587,1
sb,2820,1
rr,2283,2
pals,8378,1
weeds,746,1
something's,6121,1
#ohio,5301,1
natural,1845,1
sprinting,393,1
#rats,7416,1
birthday,6273,4
fucked,1958,27
ro,8318,1
acknowledge,5562,6
rn,5313,1
#presidentalpimpslapand,9278,1
donoharm,7071,1
trade,3981,3
cites,9525,1
strings,7500,1
re,1051,6
lento,6695,2
aversion,822,1
appears,3920,6
liberty,834,28
reach,5093,2
competing,4323,3
wastin,9429,1
cited,2560,3
motherfuckin,2439,1
deny,454,10
apathetic,7062,1
qu,7727,1
implement,2198,4
mcjob,9797,1
perspiration,8154,1
bunch,3809,8
plain,3192,4
react,4831,1
s3,2684,1
consult,5915,2
patientcentered,8255,1
ladder,9037,2
smirkin,8852,1
#mmfa,8440,1
opps,1774,1
track,4366,4
pathos,8313,1
qb,4429,1
148x,7289,1
#rockthevote,6446,1
vocalizing,4332,1
knocking,3092,1
fucker,3142,1
#benghazigate,1913,2
school,191,43
sweetest,8831,1
provided,10572,1
tracy,1482,1
slacking,3424,2
#chavezcaradepapa,4577,1
pr,7777,1
ps,1598,2
wanders,4970,1
wrapped,9822,1
wesee,2504,1
test,5106,9
sucking,6078,1
#norespect,4675,3
energetic,6593,3
sarcastic,10077,1
lante,8028,1
#ffffuuuu,5478,1
whether,2550,9
addressed,4692,2
course,404,18
resurrections,10592,1
open,1053,24
colorcome,1449,1
refuses,1234,6
page,9152,1
essay,1970,2
refused,1567,4
ignoring,1780,5
kitkat,7122,1
brothers,2649,3
#wtf,7267,4
#ohel,10640,1
knocks,3393,2
hammering,4922,4
prepare,1537,6
yawl,3991,1
yawn,7909,2
y'all's,6093,1
friendliest,5353,1
adults,6660,3
addresses,9858,1
sneakers,5066,1
xyz,4023,1
shoutout,9863,1
pais,7348,1
tomorrow,1071,17
pair,4030,1
courts,4099,1
#watchtherace,4977,1
pain,5707,2
finally,594,30
contact,498,21
#winning,5785,3
paid,1468,16
southern,8439,1
fueled,7680,1
foodstamps,7102,2
spit,5628,2
#starsnbars,8585,1
engage,3500,1
wasted,5953,2
litter,8808,1
spin,3919,2
#imhereivote,2044,1
#everyoneknowsit,5772,1
logo,3704,1
hum,5966,1
hun,8506,2
bunny,6076,1
walked,8495,4
struggle#obama2012,7364,1
mayor,2468,10
opponents,3429,1
speak,1586,33
itobama,7000,1
#mittsthetits,4007,1
ryan's,769,1
motherfucker,6525,2
walker,10534,1
24hrs,9060,2
attack,3312,13
aggressiveif,6910,1
ethnicity,6322,1
unrealisticsaying,1446,1
walken,5266,1
decides,4132,1
pace,4679,1
clenching,5396,2
constitutionwhen,2666,1
#supportb,676,1
#garyjohnsonforpresident,2132,6
little,758,42
#youtubepolitics,2778,9
pack,4634,10
alive,1282,4
though,109,34
pushes,9393,1
errrr,3961,1
rogue,4050,1
dumbledore,3227,2
profreeenterprise,10192,1
puts,1124,5
#worstelectionyearever,8034,1
priceless,7538,1
maryland,3377,1
#hcr,10227,1
proper,5258,3
contender,8332,1
nervous,3974,8
millionaire,5868,7
tourettes,8616,1
producing,9137,1
importance,7207,2
ahaha,8135,1
timmy,5780,1
saints,8545,1
prepared,1500,16
babies,6891,4
#letsgodod,5526,1
#icant,4814,1
yard,5413,3
#wilfredbrimley,5138,1
aggressively,1818,1
agents,5661,2
psc213,9534,1
#whyobama,3349,1
beneficial,7593,1
studder,9221,1
roommates,7734,1
clips,3316,1
push,2585,5
iswhat,5610,3
girl,1230,14
checkers,4064,5
attempts,5331,1
#yeee,5634,1
beards,9926,1
yg,7470,2
ye,7158,1
error,4254,1
havin,2027,8
elegance,6965,2
ya,2130,19
spanked,10479,1
depalma,7375,1
strategy,6850,8
refers,2258,4
shortterm,8782,1
lansing,9613,1
xx,5334,1
#balance,9171,1
george,1171,25
motors,7525,1
constiution,5538,1
yu,2784,8
term,1413,22
yr,2126,1
applied,7797,2
poorer,5194,1
guarantee,6015,1
pushed,2169,13
secret,580,86
yo,5,62
disappear,3683,2
unaffordable,7077,1
president,7,1392
developed,5319,2
chance,1166,32
predator,5882,2
#justdied,10024,1
muthafuckin,2766,1
beans,5040,1
#teachers,8049,3
govtemployed,10226,1
outttttttttt,10110,1
#boss,6508,1
upbeat,10176,1
fandom,5179,1
screaming,6422,3
himhis,10582,1
distinction,1214,1
crook,5949,2
electio,9148,1
comic,7128,3
canned,6989,1
#asot600,1730,1
clearer,1651,2
hashtag,7828,2
#firefighters,6212,1
serangan,7934,1
#bitchplease,5543,1
cleared,10465,1
bumrush,9160,1
fed,2036,13
#muppetromney,9083,1
bsfyi,2580,1
sticker,804,4
ministers,10026,1
masterful,4614,1
comedic,6497,1
#diggingahole,5252,1
jays,9059,1
triad,7667,1
naughty,7248,1
ouch,5433,3
catchers,10498,1
palin,7599,3
comparing,2682,4
made,349,49
secondary,3898,2
90s,10022,1
jayz,1751,4
nonfederal,4578,1
everythin,10503,1
needing,7413,1
visited,10112,1
flunkie,1963,1
bitchh,8447,1
#hewouldhavemyvote,8496,1
brazzer,9509,1
usually,4399,3
rhetoric,2165,5
conversation,738,4
reacts,5329,1
foundation,4199,1
shrugs,5939,3
sarah,4049,3
#fuckromney,1258,6
taphandle,4791,1
ridiculous,1862,8
americanot,2390,1
purple,8526,1
tribe,6819,1
rivals,2435,4
jazz,7427,1
novela,9097,1
solar,10045,1
enjoy,3342,8
#ndaa,7745,1
senile,6701,1
including,2600,2
strongest,2407,2
wonkish,5009,2
guess,1023,26
magical,5503,2
irrational,1204,1
#bhs,7111,1
novels,2555,1
woosah,3951,1
unexplanatory,4926,1
bullet,2028,2
inalienable,3623,1
change,321,50
hahah,4744,3
#person,8766,1
lead,578,12
cacando,10675,1
spoken,1643,9
#rocdebate,4488,1
capital,7140,3
7th,9134,2
hitler,6642,1
#bam,9674,1
presidentand,10502,1
witch,9825,1
aaaa,10375,1
technological,7844,1
condescending,1870,7
dozing,1250,1
toddler,10109,1
#wastefulspending,9430,1
lapel,5725,7
fatica,10445,1
coughing,9139,1
farce,6472,1
boooooooo,9323,1
#colorblind,5700,1
jihad,5658,1
pandering,2443,1
cosgrove's,5959,1
fav,3407,3
fat,2331,6
luck,4720,7
bitchs,5420,1
far,705,50
label,6494,1
#ninjaplease,9023,1
enthusiastically,7329,1
fan,773,13
mittens's,4480,1
rural,4807,1
favoritism,1558,1
mentionned,8824,1
bottomline,5351,2
benghazi,4165,4
#friendsofcoal,6869,1
leak,2235,1
elected,840,38
#justcurious,4392,1
fab,6589,1
behavioral,7719,1
opinions,677,9
#bbc,6281,1
restored,7299,1
make,246,196
leap,9933,1
#hawaii,7569,1
kiezers,8147,2
whispers,2242,2
tried,1361,17
fdr,9516,1
education,782,59
earpiece,7256,1
creativity,4418,1
glen,6613,3
ashy,8365,1
wireless,7573,1
pretending,2119,4
hindsight,4137,1
macneil,5291,1
bestjust,2052,1
flunked,8915,1
tries,164,16
mail,9153,1
presidentromney,7025,1
theyre,1696,9
mo'nique,6107,1
respectfully,5238,1
dubya,9527,1
oeste,7339,1
breeds,6199,1
fared,6974,1
watchin,879,14
highlights,5563,2
main,4771,8
petiphile,3483,1
surgeon,5172,1
expected,4809,3
obnoxious,4458,3
merriam,5476,1
fck,844,7
#followback,938,1
inside,3074,5
#thatawkwardmomentwhen,8684,1
asshole,735,14
thinki,8931,1
puzzled,8385,1
judeochristian,7884,1
carried,1613,1
kegorator,4790,1
insecure,8795,2
disgusted,6234,2
obvious,2151,10
jeezy,9743,1
errors,6106,1
asks,1394,10
penis,3065,2
report,2638,1
reported,4863,2
#irunthisbitch,5982,1
#noplan,6258,1
forehead,3749,2
blackest,9734,1
aant,2142,1
phantom,9407,1
#proudparent,8532,1
barons,10419,1
mcromney,564,3
idiots,893,12
invests,7359,1
vacation,8659,1
silence,8741,2
backroom,2451,1
#presidentialrapbattle2012,6436,1
romneywhich,1190,1
indeed,3001,3
bored,1424,4
concentrating,1949,1
build,851,7
blatantly,1783,4
businessesi,5916,1
#romneycare,8195,3
#shitnikisays,2171,1
#cantafford4more,147,26
empowers,7228,1
mantiene,7347,1
built,2340,6
#buhhbye,5209,1
gamers,7588,1
defining,1551,4
lorem,10515,1
smallest,8805,1
deficits,6712,2
jeeze,6933,1
jeeza,8890,1
rookie,8762,1
fourth,9369,1
speakplease,9079,1
sending,8736,1
spittin,1592,2
debateit,8500,1
boyfriend,2369,1
thinks,1035,35
club,7281,2
improvement,10167,1
clue,841,8
unclear,5122,1
emily,9361,1
differeence,10452,1
midst,9764,1
#notmyprez,6582,1
literally,324,8
tends,8136,1
#tweetthepress,3515,2
locke,3261,1
smirking,1464,8
beast,8465,1
youll,8353,1
almost,1987,23
9thnot,7898,1
bedazzled,2246,1
stunned,4239,2
surveillance,7424,1
experiment,10530,1
wakes,3810,1
action,1481,7
romneyhow,8812,1
wilfred,5136,1
eye,365,47
seriously,129,30
punch,647,21
intellect,6963,3
#liberal,10708,1
250k,4242,1
castro,6924,1
softball,3768,1
momentum,4396,2
damage,5510,3
debatefirst,6407,1
barbara,9562,1
departmentsaka,10037,1
xbl,8845,1
beats,6667,2
dictate,2885,4
#letthemeatcake,10365,1
console,6178,1
grealish,2329,1
corporate,4271,6
forming,2121,1
dress,7237,3
mucho,4885,2
together#obama,5031,1
penny,8051,2
acting,5011,13
blah,5165,25
tradicionales,921,1
scale,8075,2
now's,7606,2
#tea,4611,1
nimrod,5001,1
#priorities,8924,1
rollback,7640,1
clog,1752,1
females,10698,1
shaking,3160,4
#voiceinmitt'shead,9685,1
crocs,2247,2
teachers#romney,7900,1
insanely,4944,1
#aclearchoice,4445,2
foresaw,6568,1
relevant,9306,1
lonely,3619,1
major,5007,7
whining,7907,2
confidant,6247,1
tweeters,8076,1
cereal,7380,2
morale,1828,1
momma,7333,2
grammar,6105,1
#tfm,9308,1
schedule,7665,2
actualy,6164,1
#beconfident,9559,1
beard,9736,1
union#debates,4799,1
things,390,75
wining,10551,2
morals,7487,1
overtime,5985,1
embarrassing,2653,4
couldnt,1323,1
fuckromney,7054,1
doneit's,8436,1
etc,1348,9
everyday,27,8
blunt,7869,2
blew,8275,2
siberia,5388,1
chiming,10359,1
clovers,10297,1
eso,4886,1
framing,5771,1
sayduring,8173,1
est,6692,2
bwords,2488,1
wud,10571,1
#snlflashback,10260,1
#topprog,8623,1
kamehameha,4603,1
hillary,3127,4
appealing,4223,3
governmental,8613,1
bulshit,8787,1
infers,7613,1
it'll,3646,6
nailing,366,2
lockbox,6920,2
paling,7475,1
california,5028,1
inna,9663,1
boobies,7804,1
likesome,4195,1
isand,5611,1
austerity,8497,1
#bigbird2016,4326,4
preview,3878,1
smokers,7419,1
burrows,3606,1
pregnant,4089,4
cmon,9186,2
specify,10349,1
uhhhmm,7132,1
#cuj13,6766,1
forsure,8584,1
#tru,2002,1
glasses,10319,1
oppressed,6747,1
broaden,4002,3
deferred,9820,1
#neither,2272,1
excuses,1652,2
outs,2915,2
goldman,4872,2
wsu,7576,1
strike,4709,1
zwevende,8146,1
cringe,6946,1
written,4009,3
relevance,6418,2
wsj,10561,1
dodged,3608,3
jaja,8860,1
#toomanybigcomplicatedwords,3510,1
carter,1859,3
pisses,1410,3
obiwan,9962,1
trendsetter,8004,1
pissen,5954,1
40oz,9507,1
overiding,2396,1
sooooo,3315,3
cartel,5906,1
#meangirlsday,10248,1
#donthate,6640,1
learning,6452,2
young,456,23
matt,768,3
math,362,26
picking,2514,11
sittin,2699,1
arguments,4452,8
thirsty,4979,1
#coordinatingties,8653,1
stays,6077,4
gangsta,4191,3
upstairs,2317,2
equally,7874,2
wtf,1357,24
mate,2973,2
quickly,5244,1
chronicling,5314,1
wth,4796,4
insurances,8689,1
ehmmmm,10374,1
peopledo,9609,1
repeatedly,10344,1
perform,7835,2
wys,7645,1
blir,1678,1
#presidentialdebate2012,138,67
loses,2607,5
loser,2075,11
skimmed,1972,1
pissed,4201,9
#romneydontcare,3599,1
leavin,8674,2
grandchildren,10589,2
hotchips,9573,1
misery,3642,1
presented,9975,2
china,617,7
scary,1075,4
orange,825,3
who'd,4717,3
ducks,7439,1
youth,6390,6
places,4227,3
aarp,9472,1
leveraged,7138,1
explains,3577,4
ooooo,10627,1
awhile,7978,1
sorrel,9200,1
ooooh,6732,2
islands,272,4
freely,7176,1
rightwing,3805,1
scare,1584,2
#dumbass,6981,2
legal,4731,2
powers,7396,1
famous,4095,1
lmaoo,6405,4
child,263,34
chile,181,1
overriding,5440,1
precious,7181,1
mayo,56,4
grateful,4465,3
wwe,10342,1
soooooo,2364,1
question,887,81
uglass,6386,1
rugged,8329,1
riberty,7842,1
multiple,2352,1
#richprick,6127,1
sciencesfollows,9227,1
#merica,1425,6
#pushover,3709,1
right#debates,6378,1
adult,8002,1
chill,766,9
freedoms,1143,2
#ladders,10584,1
youre,414,11
esa,7716,1
#sackup,1177,1
originally,4026,1
effect,6167,3
ninja,6703,2
device,526,2
err,4728,1
historical,8546,1
erm,2841,2
#trustmitt,8249,1
cspan,5288,4
memes,3894,1
nothin,6218,3
stare,9634,3
4got,6516,1
leaves,3746,2
#unfollowing,7740,1
moderador,4758,2
info,8204,2
obscurity,4467,1
blitzed,8712,1
spoiled,7354,1
represented,942,2
#biggovernment,9495,1
#romneyall,1367,1
arrived,7953,1
plansthoughts,6956,1
industry,3235,3
wmr,5196,1
#sitdownyourbitchassdown,7972,1
continuous,8499,2
mane,8960,2
singing,5225,6
gritty,9107,1
opinionated,10623,1
stary,9630,1
many,34,60
solid,2911,3
#poorjim,2411,12
rehearsed,5384,2
covers,2827,1
start,697,38
stars,9998,2
satisfaction,9442,1
takeover,1362,8
#obamavsromney,4993,1
prize,5855,1
#husband,1916,1
coverg,7311,1
saving,2534,10
wno,6979,1
shreds,4829,1
strict,5550,3
sidedmitt,9615,1
propaganda,6285,2
wnt,10303,1
#ryan,4940,2
halting,9047,1
mama,2928,7
emm,9989,1
highschool,8008,1
clockwork,824,1
cackles,8397,1
physics,10089,1
walgreens,5268,1
cottonpicker,5687,1
watched,1797,13
fallacious,7861,1
upset,3002,5
#women,5932,1
can'tafford4more,585,1
aggressive,383,12
imbecile,1202,1
district,4701,2
#bigoil,7286,1
end,935,57
silenced,10085,1
options,5360,3
unemployed,9993,1
readily,8469,1
assassinate,4408,2
shudder,7014,1
male,5235,6
youve,7495,2
humorous,10454,1
caredid,8228,1
tackle,1395,2
already,373,72
tooken,2803,1
possum,8339,1
fallacies,2873,1
represents,9420,2
racists,8920,1
dumbasses,10332,2
mali,8412,1
bloods,5485,2
skit,8092,3
rommey's,2949,1
headrush,9545,1
romneyyea,5131,1
reading,532,13
beliefs,1754,7
happinessunless,4618,2
saiyan,1159,1
egg,9207,1
skin,1448,14
mass,1239,21
parody,6682,1
chief,141,13
tenth,1340,7
kristol,9076,2
wwisdom,5705,1
deboed,6545,1
dream,2124,5
beyonce,8538,1
mark,3747,2
comes,660,26
#jaxdebate,10269,1
mars,5863,3
moderator,68,166
#boom,1461,5
surprising,5810,2
assstopnow,2357,1
#triplecrown,3112,1
mary,6993,1
senior,6314,1
administration,4173,6
woe,2847,1
stats,2160,1
owning,707,5
#nohomo,5930,1
bettering,10377,1
issue,951,15
state,340,90
achieve,6286,2
combo,6637,1
btches,2346,4
blog,3660,2
inda,8089,1
chico,6182,1
fruition,9621,1
experiencing,4259,1
credible,5540,1
#genius,9000,1
#twib2012,7789,3
wishy,7585,1
legit,2774,6
wow,1309,33
landing,10591,1
details,1125,77
up#inserthashtagcomment,2901,1
tradition,7389,1
leader,1332,17
4yrs,4324,4
woo,1891,1
won,749,45
magician,957,2
#republican,584,13
blow,1146,6
brains,3109,2
reppin,4367,1
vision,9350,3
tense,10244,1
kindalike,8651,1
#liberty,10224,1
replacing,2950,1
struggled,4056,4
traditions,8758,1
zaps,9574,1
ipablike,7860,1
address,1593,11
#illusions,2278,1
craven,8744,1
flustered,2406,1
struggles,3524,3
pauses,3102,3
special,3324,6
fundamental,837,9
detroit,2546,2
consulted,787,2
kicks,3835,1
need,485,237
iceberg,3339,2
#dafuck,4385,1
using,1921,10
#theyprollywont,9330,1
benefit,1547,10
threatening,3080,2
#massacre,4781,1
workforce,5972,2
#romneyfail,7735,2
#journalism,6768,1
missing,4157,6
aggression,2086,4
bleak,10066,1
playfully,6195,1
oven,3322,2
hennessy,10292,1
clone,10122,1
commentator,4996,6
laughs,9027,1
smilethat's,8658,1
fighttttt,511,1
number,648,36
worthless,9270,1
smoke,2133,7
#ibar,7460,1
#ayeeeeee,5794,1
fist,2944,9
partying,7597,1
gig,8273,1
80s,1528,2
typically,8276,1
zinnen,8874,1
whoville,2469,8
arab,1100,1
#ksatdebate,3029,2
screw,7318,7
80k,1472,2
adamant,9498,1
#debatetips,10160,1
talladega,9011,1
horrible,2509,9
ghs,256,1
#garyjohnson,3008,2
#forthewin,7814,1
trouble,1948,4
#yourecrazy,5325,1
division,3875,2
obsessed,4482,1
wheelchair,5096,1
formin,4402,1
wen,2548,5
streaming,6006,2
firm,7542,1
lessfortunate,9184,1
wee,8053,1
films,10107,1
#gotyobackbarack,1772,1
nonstop,9730,1
wea,2536,1
fire,2193,26
remold,3697,1
louder,3752,2
#ufc,7832,1
arrested,5659,1
nooooooooooooooo,3687,1
#eyeroll,9816,1
vampire,1490,7
doggy,6434,1
hardest,9532,1
faltado,4882,1
wealthy,1254,13
vinner,8511,1
#teamkanye,5888,1
clever,7101,2
horribly,8291,1
himselfi,9411,1
banks,10541,1
officespaceasking,8272,1
behalf,9351,1
wha,9157,1
paulies,7821,1
rocking,9217,1
#fuck,5076,3
nevermind,7017,1
proven,6297,3
#worstquoteever,2895,1
losing,2248,22
koolaid,3069,1
#abc,9832,1
whn,3724,1
#answerthequestion,5123,1
doctor,1821,9
close,1601,17
negro,8577,2
transparency,1263,3
polygamy,4900,1
facts,319,30
crooks,9025,1
opinion,2856,19
#commentary,2447,1
pete's,5740,1
oval,6037,4
proved,2316,4
obmacare,9386,1
lmfaoooooo,6571,2
get,12,371
#obamafirst,2807,2
yesno,4174,1
grave,5184,4
#aca,4860,2
resisting,6996,1
nomargin,4253,1
edith,7862,1
#getittogetherjim,2430,1
amenrt,10662,1
near,3621,4
gee,5144,1
gravy,3292,1
murders,4707,1
gedemotiveerd,8879,1
gel,3246,7
lollll,10102,1
neck,2023,9
alex's,821,1
aren,8702,1
#shutupalready,10090,1
stylists,8981,1
understanding,2327,4
former,4160,4
purchase,5480,1
safely,7084,1
fits,3156,2
assasinate,2393,1
throw,2967,22
england,9102,1
#justsayin,8667,2
area,2408,1
style,358,12
wonderfully,7604,1
prius,9383,1
wit,604,17
#suchaleader,1785,1
#symbolictweet,649,1
bumper,803,3
wiz,2626,1
wii,1687,1
liberties,2111,3
wig,9888,1
lobbyhttptco6heefzkh,7291,1
screwed,1935,7
five,274,23
beatboxing,1529,1
win,1306,106
capable,4536,2
bumped,8588,1
headquarters,1929,1
stana,9066,1
message,3664,4
#manupbro,9558,1
whu,5578,1
#obamasux,5727,1
#fullofshit,1225,2
#vs2012,8148,2
wht,2696,4
mission,2531,9
stand,1383,30
#teamlehrer,7186,1
arrival,6055,1
opponent's,5592,1
stomach,9482,2
persona,4888,2
#debatewatch,2068,10
befefore,7899,1
dunk,4109,2
bands,2894,1
#blamebush,2041,1
rotate,9785,1
#austincarlileforpresident2012,8492,2
plymouth,3545,1
6th,5804,3
#toomuchsmirking,6788,1
ciroc,10293,1
roughshod,6581,1
unfounded,2301,1
yankees,4553,2
impose,5346,1
rims,6393,1
break,992,15
moderated,7806,3
debatelike,8540,1
rambling,810,15
#debatehealth,7307,1
youngest,8451,2
buenos,10694,1
import,6861,1
moderater,10504,1
central,4912,3
knife,8636,1
ring,2729,3
screen,941,12
creating,3594,4
services,9456,1
gag,8737,1
#skimmdebates,8169,1
welfare,1597,7
loving,3097,7
include,3851,6
prime,7960,2
gas,671,2
haircuts,6012,1
sitting,2776,11
operating,4710,1
gay,1662,37
weirdo,7305,1
fortyseven,8692,1
crusade,7136,1
#conservative,5766,1
novel,9024,1
gap,1459,3
#history,8547,1
different,1899,26
creation,3787,3
#battlegroundstate,4238,1
christianity,5554,1
talent,4801,1
metheard,8682,1
riot,8320,1
closes,6307,3
protect,1477,41
addressing,93,14
intetupted,4305,1
bewildered,5012,1
uterus,3075,1
walks,2243,9
handed,1496,3
presidentsuccesful,5865,1
detailed,7277,5
nominating,6410,1
closed,4498,7
drivin,6304,1
flooded,7798,1
stritch,4190,1
radical,8403,1
