Phrase,TextRankScore,RakeDegScore,RakeFreqScore,RakeDBFScore
begun ,1.242843,14.000000,8.000000,1.750000
rise ,0.654608,11.000000,8.000000,1.375000
obamacare ,0.545725,7.000000,3.000000,2.333333
died ,0.759765,2.000000,2.000000,1.000000
hospital ,1.148305,2.000000,2.000000,1.000000
year ,2.449802,56.000000,25.000000,2.240000
dont ,3.114271,196.000000,62.000000,3.161290
tax cut ,8.837308,373.000000,161.000000,4.629346
full ,1.861381,37.000000,22.000000,1.681818
bruh ,0.629692,10.000000,3.000000,3.333333
mitt romney looks like ,70.665430,9681.000000,3196.000000,12.499496
works ,0.269523,3.000000,3.000000,1.000000
umbrella corporation ,0.000000,4.000000,2.000000,4.000000
romney's ,4.796301,324.000000,94.000000,3.446809
like 0mg ,12.308358,1289.000000,431.000000,4.993023
k00l wif3 ,0.000000,4.000000,2.000000,4.000000
l00k h0w h obama iz ,16.242344,1735.000000,760.000000,19.108965
give ,2.374226,75.000000,41.000000,1.829268
shit ,5.160207,268.000000,127.000000,2.110236
people think ,6.343518,436.000000,212.000000,4.080144
care ,1.722319,40.000000,27.000000,1.481481
presidential candidates ,5.455326,213.000000,81.000000,4.927273
saying ,2.689191,117.000000,63.000000,1.857143
shut ,1.080813,46.000000,26.000000,1.769231
mitt romney wins ,55.358707,7990.000000,2652.000000,9.050591
world might ,3.411658,70.000000,39.000000,3.579365
well end ,3.222440,63.000000,34.000000,3.800000
mitt romney ,53.459348,7924.000000,2630.000000,6.050591
look ,2.754470,237.000000,101.000000,2.346535
smell ,0.661644,3.000000,3.000000,1.000000
sound like ,14.221113,1362.000000,453.000000,6.253893
bunch ,0.998702,9.000000,8.000000,1.125000
bullshit ,1.837847,55.000000,27.000000,2.037037
smell ,0.661644,3.000000,3.000000,1.000000
threw ,0.610915,15.000000,6.000000,2.500000
tv ,2.211921,49.000000,34.000000,1.441176
cut taxes ,8.675525,325.000000,147.000000,4.438832
rich ,2.950545,105.000000,63.000000,1.666667
gonna ,2.577730,132.000000,59.000000,2.237288
romney's answer ,7.311830,419.000000,146.000000,5.273732
jobs ,6.207169,285.000000,123.000000,2.317073
better #presidentialdebate ,5.170460,239.000000,108.000000,4.425925
energy independence ,6.988170,324.000000,122.000000,5.358547
