WordId,Word,Degree,Frequency,DegBYFreq
172,dude,45.000000,22.000000,2.045455
173,key,18.000000,7.000000,2.571429
174,peele,11.000000,2.000000,5.500000
175,sound,75.000000,23.000000,3.260870
176,haha,13.000000,9.000000,1.444444
177,starts,10.000000,5.000000,2.000000
178,wishing,2.000000,1.000000,2.000000
179,michelle,36.000000,14.000000,2.571429
180,happy,5.000000,2.000000,2.500000
182,anniversary,19.000000,10.000000,1.900000
183,go,137.000000,72.000000,1.902778
184,racist,26.000000,13.000000,2.000000
185,motherfucker,6.000000,3.000000,2.000000
186,care,40.000000,27.000000,1.481481
187,watching,158.000000,107.000000,1.476636
188,tho,26.000000,13.000000,2.000000
190,dnt,20.000000,7.000000,2.857143
191,already,268.000000,103.000000,2.601942
192,#teamobama,86.000000,40.000000,2.150000
193,omg,24.000000,10.000000,2.400000
194,legit,7.000000,3.000000,2.333333
195,saying,117.000000,63.000000,1.857143
196,said,255.000000,90.000000,2.833333
197,stand,33.000000,18.000000,1.833333
198,essay,3.000000,1.000000,3.000000
199,please,59.000000,24.000000,2.458333
200,ever,84.000000,34.000000,2.470588
201,prez,7.000000,5.000000,1.400000
202,stress,1.000000,1.000000,1.000000
203,hair,49.000000,18.000000,2.722222
204,zing,2.000000,1.000000,2.000000
205,looks,470.000000,136.000000,3.455882
208,governor,14.000000,6.000000,2.333333
212,#pmtdebate,2.000000,2.000000,1.000000
213,look,237.000000,101.000000,2.346535
214,man,128.000000,62.000000,2.064516
216,looking,112.000000,48.000000,2.333333
217,notes,11.000000,6.000000,1.833333
218,punk,4.000000,2.000000,2.000000
219,getting,24.000000,14.000000,1.714286
220,ready,27.000000,17.000000,1.588235
221,#debate,58.000000,26.000000,2.230769
222,sending,7.000000,4.000000,1.750000
223,dick,32.000000,14.000000,2.285714
224,pics,9.000000,2.000000,4.500000
225,d,5.000000,3.000000,1.666667
226,r,13.000000,6.000000,2.166667
227,discuss,9.000000,3.000000,3.000000
228,domestic,5.000000,2.000000,2.500000
229,policy,1.000000,1.000000,1.000000
230,first,140.000000,56.000000,2.500000
232,denver,3.000000,2.000000,1.500000
233,sounds,143.000000,40.000000,3.575000
235,intelligent,12.000000,5.000000,2.400000
236,wanted,3.000000,3.000000,1.000000
237,answer,95.000000,52.000000,1.826923
238,#election2012,4.000000,3.000000,1.333333
239,kinda,45.000000,15.000000,3.000000
240,tickled,7.000000,2.000000,3.500000
241,mentioned,2.000000,1.000000,2.000000
242,presidents,17.000000,8.000000,2.125000
243,cares,19.000000,9.000000,2.111111
244,#obama,251.000000,100.000000,2.510000
245,scores,8.000000,3.000000,2.666667
246,1st,25.000000,7.000000,3.571429
247,lie,37.000000,17.000000,2.176471
248,auto,64.000000,25.000000,2.560000
249,industry,74.000000,31.000000,2.387097
250,blazing,2.000000,1.000000,2.000000
251,back,149.000000,52.000000,2.865385
252,gm,9.000000,6.000000,1.500000
253,underwater,1.000000,1.000000,1.000000
256,marriage,10.000000,5.000000,2.000000
257,poor,33.000000,17.000000,1.941176
258,owned,7.000000,1.000000,7.000000
259,s,38.000000,20.000000,1.900000
260,awkward,7.000000,4.000000,1.750000
261,real,100.000000,37.000000,2.702703
262,uncomfortable,11.000000,4.000000,2.750000
263,quick,12.000000,4.000000,3.000000
264,market,7.000000,2.000000,3.500000
265,testing,3.000000,1.000000,3.000000
266,meter,5.000000,2.000000,2.500000
267,annoying,16.000000,7.000000,2.285714
268,#citizen,1.000000,1.000000,1.000000
269,consumer,1.000000,1.000000,1.000000
270,always,73.000000,26.000000,2.807692
271,face,175.000000,73.000000,2.397260
272,trusted,2.000000,2.000000,1.000000
273,come,49.000000,24.000000,2.041667
274,roaring,46.000000,15.000000,3.066667
275,housing,9.000000,9.000000,1.000000
276,begun,14.000000,8.000000,1.750000
278,obamacare,7.000000,3.000000,2.333333
279,died,2.000000,2.000000,1.000000
280,hospital,2.000000,2.000000,1.000000
281,year,56.000000,25.000000,2.240000
283,dont,196.000000,62.000000,3.161290
284,tax,221.000000,95.000000,2.326316
285,cut,152.000000,66.000000,2.303030
286,lmao,23.000000,13.000000,1.769231
287,seem,13.000000,7.000000,1.857143
288,meeting,2.000000,2.000000,1.000000
289,number,4.000000,2.000000,2.000000
291,good,145.000000,63.000000,2.301587
292,thing,76.000000,35.000000,2.171429
296,confused,7.000000,4.000000,1.750000
297,candidate,34.000000,17.000000,2.000000
298,yes,57.000000,28.000000,2.035714
299,talk,99.000000,49.000000,2.020408
301,need,118.000000,76.000000,1.552632
302,improve,3.000000,2.000000,1.500000
303,education,97.000000,59.000000,1.644068
304,system,17.000000,7.000000,2.428571
305,knew,1.000000,1.000000,1.000000
306,world,31.000000,18.000000,1.722222
308,twitter,93.000000,37.000000,2.513514
309,support,17.000000,6.000000,2.833333
310,ur,11.000000,4.000000,2.750000
311,life,30.000000,16.000000,1.875000
312,wrong,16.000000,10.000000,1.600000
314,bruh,10.000000,3.000000,3.333333
315,works,3.000000,3.000000,1.000000
316,umbrella,2.000000,1.000000,2.000000
317,corporation,2.000000,1.000000,2.000000
318,trying,69.000000,42.000000,1.642857
319,point,32.000000,16.000000,2.000000
320,points,19.000000,11.000000,1.727273
323,romney's,324.000000,94.000000,3.446809
324,0mg,2.000000,1.000000,2.000000
326,k00l,2.000000,1.000000,2.000000
327,wif3,2.000000,1.000000,2.000000
328,l00k,5.000000,1.000000,5.000000
329,h0w,5.000000,1.000000,5.000000
330,h,11.000000,6.000000,1.833333
331,iz,5.000000,1.000000,5.000000
333,pres,28.000000,13.000000,2.153846
334,believes,5.000000,3.000000,1.666667
335,federal,11.000000,4.000000,2.750000
336,government,37.000000,17.000000,2.176471
337,charge,6.000000,5.000000,1.200000
339,give,75.000000,41.000000,1.829268
340,candidates,33.000000,15.000000,2.200000
341,shut,46.000000,26.000000,1.769231
342,wins,66.000000,22.000000,3.000000
343,might,39.000000,21.000000,1.857143
344,end,18.000000,9.000000,2.000000
345,smell,3.000000,3.000000,1.000000
346,bunch,9.000000,8.000000,1.125000
347,bullshit,55.000000,27.000000,2.037037
348,threw,15.000000,6.000000,2.500000
349,tv,49.000000,34.000000,1.441176
350,taxes,173.000000,81.000000,2.135802
351,rich,105.000000,63.000000,1.666667
352,gonna,132.000000,59.000000,2.237288
353,feel,141.000000,54.000000,2.611111
354,bad,48.000000,26.000000,1.846154
356,nice,36.000000,15.000000,2.400000
357,interesting,7.000000,5.000000,1.400000
361,hmmm,2.000000,2.000000,1.000000
363,better,132.000000,54.000000,2.444444
364,independence,79.000000,29.000000,2.724138
365,huge,14.000000,7.000000,2.000000
370,comes,45.000000,23.000000,1.956522
377,obamas,42.000000,16.000000,2.625000
378,forgot,3.000000,3.000000,1.000000
381,take,139.000000,63.000000,2.206349
382,us,199.000000,75.000000,2.653333
385,wants,145.000000,69.000000,2.101449
