Term,Term-id,Term-frequency
foolishness,8700,1
target,4188,1
furious,4802,3
facing,5386,1
#simpleasthat,9421,1
twas,6931,1
benefits,3264,3
average,3100,6
#whywillardislosing,8196,1
errr,6279,1
#iwannaknow,1642,1
kim,3816,2
visit,5027,4
wait,688,63
#politicolive,3490,1
#whitepower,8886,2
fest,8394,1
lesser,5674,1
juncture,7952,1
kid,289,61
bush's,6353,2
memorize,5615,1
runway,5247,1
began,4839,1
droned,8629,1
#bigmistake,1977,1
something,301,68
#skimm,8168,1
stance,5205,5
pussy,2572,5
black,559,178
limits,7166,4
asked,784,18
#illmoveforwardwithobama,5102,1
diffrently,7513,1
party's,9478,1
expresident,510,2
suffocated,5354,1
convention,6802,3
demonstrated,1630,1
#negativenancy,8462,1
douche,991,7
salaries,4489,2
butit's,9852,1
slapping,396,1
iknow,5577,2
towns,2308,1
fartoh,8857,1
soal,7926,2
impress,2003,1
#helpajoout,10580,1
owners,3036,2
discovery,3527,1
mejor,8030,3
#ronpaulrevolution,696,1
deserve,1233,10
pillow,1611,3
ferb,4569,1
#pieces,6831,1
pursuing,6558,3
himthis,10080,1
healthhcare,1440,1
governorwillalwaysbeagovernor,6365,1
abortions,4090,5
wdrugs,6759,1
frappichinos,7491,1
#letsnot,595,1
donate,9175,1
france,2082,1
joining,4670,2
laboratories,9190,1
#romneymittskin,8530,1
#where'sdabeef,8130,1
blinks,3722,11
2nd,1766,12
derail,8194,1
thot,8883,1
embassy,3860,2
foreigner,4057,1
girlfriend,3303,3
#debateusa,10469,1
thoo,9149,1
simpsonbowles,2818,2
#fact,3283,3
traditional,8414,1
soda,9329,1
whatsoever,842,2
#gop's,6596,1
represent,4362,5
sock,4031,4
amazing,5509,3
domineering,4794,1
byeobama,6949,1
bobs,6634,1
sharpened,8829,1
forever,4561,5
sums,5799,1
speeches,4350,5
stands,411,4
background,4481,1
smashed,1999,1
nothing,441,77
anal,3470,2
whateverhe,4560,1
40s,1455,1
comments,3911,6
sumn,4152,1
body,1134,17
astronauts,6895,1
egregious,8954,1
blacky,9838,1
thru,2603,5
rocked,3258,1
communicating,2325,2
confusing,1238,3
oportunidad,2738,1
#done,10092,1
wana,9359,2
blacks,3462,7
enough,187,53
#ebn,10187,1
keg,6120,1
cleveland,218,4
clowns,4220,4
#runningoutoftime,4475,1
monotheistic,3260,1
tonightromney,6376,1
robbing,9561,1
key,314,17
afghanistan,674,3
eager,3007,1
kfc,5071,1
mf's,6772,1
#fail,2392,4
script,7641,1
disjointed,6567,1
mf'n,3410,1
mgicos,6700,1
#nickortiz2012,3985,1
better,448,175
#trucked,10196,1
deity,9379,1
#mittsnottheman,8896,1
lightweight,9401,1
walk,1273,29
constitution,1352,89
wall,2926,15
andlazy,5053,1
#debatelostsou,7007,1
salty,9194,2
ignored,2040,6
saying,712,174
trampling,8953,1
instigator,3772,1
facepalmed,10133,1
thts,2012,2
ernie's,2882,13
nite,8576,2
consensus,4703,5
#toofunny,6971,1
#dreams,4059,1
freeenterprise,4417,1
#debatable,7214,1
congratulations,4248,1
salud,63,1
flying,2680,1
waka,8404,1
wake,2455,6
touched,1541,2
demonstrates,10071,1
nixon,6757,2
artist,7546,1
cheating,4453,2
roaming,8181,1
counseling,9294,1
voting,87,110
#b,10015,1
#d,10529,1
shaves,10610,1
society,4181,4
#ibelieveyouhavemystapler,6718,1
funny,870,46
creole,6809,1
#r,1451,1
unsure,10282,1
#p,10256,1
#o,10343,1
#obamabiden2012,3364,1
feud,3431,1
steamrollering,8791,1
ignores,3186,1
throne,3680,4
anew,9956,1
uk's,1439,1
wedding,1387,3
suit,2368,8
#liberalhack,1722,1
laying,385,3
#gays,5931,1
disabled,4379,2
#getwiththeprogram,6527,1
libsdon't,9499,1
fell,3597,7
snatches,5629,1
waab,9038,1
unprepared,6780,3
flatts,3695,1
godfearing,5377,1
confirmed,2366,2
deliver,8739,2
#got'em,8536,1
wheres,2547,2
anybody,3135,14
#romneywinning,1248,3
educated,1002,12
lesson,2200,6
programs,1608,3
shades,5697,1
noticing,5150,2
watttt,7750,1
medetailsyou,4410,1
montoya,3223,1
eastwood's,6899,3
stripes,6577,2
disarray,8721,1
#tatatatodayjunior,9678,1
#readup,10474,1
earlier,10471,1
funds,2470,5
eric,10397,1
computer's,588,1
#disrespect,8759,1
alphabet,8199,1
murderer,7377,1
troublesay,7561,1
delivery,6649,2
obligated,10138,1
follower,5335,2
nozero,4655,1
sabotage,10400,1
#us2012,7892,1
plenty,4978,1
irritated,3291,1
followed,3398,5
kos,10396,1
withhe,10048,1
treatin,5874,1
grasping,10577,1
pictured,10657,1
tugged,4121,1
nominate,8966,1
usual,6041,4
jacket,5989,1
pushy,4493,2
texting,1588,7
jockey,9845,1
larger,7970,3
guessing,9423,1
lmentslol,7040,1
barry,2138,14
#icantevenvote,8074,1
it'd,9225,1
translator,9068,1
#bezdebates,6845,1
#teamobamaor,1790,1
within,1548,3
lerner,6381,1
second,230,19
spender,7020,2
study,981,5
atlanta,771,1
middle,267,76
displaying,9723,1
infomercial,3415,2
#right,8943,1
preps,6325,1
looks,638,169
results,1168,4
rightttttt,8110,1
lambo,6392,2
hardcore,1744,1
facebook,931,8
collegeee,7886,2
childhood,3274,3
prepped,3807,2
sence,7118,1
#rude,2072,11
rat's,9550,1
iwish,4906,1
mcgriddle,1091,1
november,2298,8
appropriate,2972,1
knw,2825,6
grandchildren's,7903,1
doubt,8299,4
controlled,1221,2
suck,678,13
offering,4277,4
league,8388,2
#thetruth,7209,1
ursula,8838,1
stuff,1292,30
mmmmm,3154,1
millionaires,2432,4
thin,3813,1
bridge,3465,1
kno,4257,8
included,4858,1
srsly,306,2
padres,10691,1
equivalent,9665,1
appreciate,5016,5
fend,9597,1
oncehes,2354,1
#twisters,8435,1
busted,3268,1
affect,7133,4
smaller,6017,1
undecideds,6515,2
#prolife,4732,1
steve,3518,2
wack,560,4
#constitution,5539,1
#someonesdying,6833,1
stupidly,6666,1
treated,5047,2
stevens,5328,6
kkk,1299,8
skipping,8099,3
blessgs,7386,1
iran,9983,1
iraq,2434,2
supprtng,7285,1
stuffy,6531,1
adequately,3901,1
felt,2832,6
imagining,8837,1
jezzy,9622,1
uhhhhhh,7073,2
buster,7315,1
condoms,7082,1
wordsseal,10537,1
#ego,2918,1
eople,4117,2
prximo,2104,1
skint,9649,1
passed,1484,7
fight,1330,26
mexiconot,4353,1
goona,6442,1
1t,9784,1
passes,8459,1
gangnam,6681,3
coherence,8200,1
mariah,1187,1
talkingprob,6683,1
#de,2216,5
turning,2426,6
showed,1291,3
danced,9031,1
interupts,10214,1
staring,2087,6
snow,9425,1
2b,9004,1
points,2029,32
stamps,3114,11
pointu,10129,1
uncrustable,6729,1
opportunities,3321,10
brain,4637,4
assshut,10542,1
skied,10392,1
turn,1699,27
anti,6335,3
#co,5307,1
#cn,8515,1
billionaire,10142,1
adhering,8957,1
organizer,6291,2
uncles,5366,1
turf,9062,1
organized,5151,2
ants,10628,1
#ca,6714,1
bwahahahahaha,4820,1
favorite,1083,8
compassion,2212,2
#voteno,4619,1
turd,3838,1
loool,5153,1
afraid,5349,5
1b,3994,1
1d,8335,1
constitutn,7387,1
shower,2508,2
#chicago,4593,1
ways,2815,8
born,2360,18
soooo,3956,4
cheney,7097,3
tattt,8788,1
allegations,8851,1
brags,9792,1
#romneyryan2012,139,144
figure,4339,8
smarter,4945,5
civil,198,26
crisis,2167,3
#indyvote,2332,3
#bo,7402,1
tailored,7259,1
rounded,1001,1
proceeded,3449,2
jut,1580,2
jus,2970,14
luxurious,3279,1
boss,1690,9
predicted,6873,1
fvuk,5656,1
aginst,574,1
fault,3456,7
scrutinized,10264,1
combined,6828,3
worrying,7793,1
#beardlove,9930,1
mixture,9803,1
ayers,7779,1
freeman,5025,1
actions,3690,4
coding,9805,1
prohibition,8461,1
fear,3307,6
hormone,3699,1
detain,7744,2
salad,2598,1
ramming,2863,1
detail,2709,14
recording,5600,1
#uhuhuh,9677,1
#marines,9118,1
gettin,1829,12
#dooooontcare,2932,1
stupider,10165,1
loose,3904,3
ratchet,7533,2
affected,4018,1
that'll,6241,3
ripping,200,5
#whyreelecthim,5376,1
#potkettle,9127,1
democrat,2061,14
evidently,3789,1
showers,6906,1
#epic,6778,1
networks,626,1
stump,9850,1
unable,5983,2
yall's,5576,1
white,430,81
jst,6911,1
properly,277,7
deteriorating,8620,1
edgington,1097,1
pageant,9667,2
races,1837,1
showin,1557,1
pplhe's,10068,1
opponents#denverdebate,9007,1
5t,7358,1
model,4203,21
similarities,1322,1
scoobie,9672,1
4b,9003,1
haircut,9491,1
feds,401,3
#cunnilingus,9339,1
infinity,6742,1
illiterate,2643,3
stoppp,6836,1
elaborate,3924,2
blinkperminute,4919,1
3do,6176,1
feed,3300,15
dibiasi's,4966,1
accent,7889,3
confidential,644,1
glaring,10717,1
brack,5937,1
honour,6680,1
girls,6691,8
feel,78,74
bowl,3043,2
dcor,7033,1
ronaldo,10106,1
crucial,2592,2
assing#obama,5769,1
feet,1887,5
fees,1471,2
hatin,2575,1
bubba's,5113,1
roslehtinen,9321,1
3d,7212,1
#stupidestpersonalive,6688,1
beaten,7824,1
whoever,488,18
uhuh,4297,1
scribble,6890,1
#youfuck,5428,1
dissuade,8159,1
eyebrows,2623,4
masters,2983,2
elders,9522,1
accept,7517,1
haircutlet,5993,1
bases,6496,3
#liar,4105,3
eastwood,3175,1
bullshytttt,6191,1
bettman,7639,1
simultaneously,2005,1
whisper,5789,2
etchasketch,7996,1
goobama,7055,1
sales,8234,1
camei,8856,1
criminal,4098,1
hopped,7064,3
#thechallenge,2409,2
speaking,310,51
choose,1050,18
precisin,7712,1
tweetsposts,10433,1
kat,8594,1
wishes,6289,3
wherentheyre,7749,1
director,762,1
kai,8372,1
banged,7196,1
putting,2263,15
unqualified,10186,1
9m,10140,1
loehrer,1959,1
#messiah's,5490,1
seguro,61,1
wished,9103,3
preexisitng,8895,1
slayers,10672,1
timesit,7562,1
#notmultiplechoice,6193,1
boosie,3818,6
google,7617,3
episode,4625,6
whooville,5870,1
comedy,4911,3
tiger,5473,1
wann,9671,1
failed,1869,14
stronghand,1396,1
simpleif,7914,1
paycheck,2842,4
anit,3099,1
everyones,4897,2
latter,9346,1
boston,4368,3
eden,1638,2
#mittsucks,9893,1
#romneyfor,5398,2
taxpaying,7579,1
want,639,265
hence,7266,1
entertained,9249,1
steal,3637,3
edge,5095,2
heaven,5160,1
#thatswhatsknownasazinger,7002,1
hacemos,10148,1
pootie,6263,1
#romneyjustsucks,3988,1
7m,10139,1
badlook,3980,1
access,458,2
stun,1265,1
donald,1014,1
followup,5665,1
#angry,3831,1
brand,6242,1
hates,2511,11
based,1447,8
hater,3206,1
crips,5484,3
educacion,10690,1
bolt,9603,1
cript,2989,1
shocker,2996,1
solutions,5404,4
mcdonald,8211,1
shocked,5641,2
wats,10128,1
#life,3486,3
#teamneither,2618,1
upfront,6843,1
nationally,343,2
bold,247,5
turned,2289,9
incongruous,1205,1
militaryamerica,5750,1
directly,2461,7
#lies,3093,2
#powerpart,1930,1
translates,10550,1
accuse,10043,1
thrown,2611,5
gesturing,1523,1
implication,881,1
succeed,3882,13
potus,446,24
turner,5781,2
throws,4505,1
#factcheckthis,8946,1
sense,2355,24
staying,6655,3
smthn,4783,1
bully,828,8
rommney,571,3
bomb,8061,2
responsibilities,6711,3
popular,5492,4
wave,6103,2
ifsick2lt4,5374,1
#votemarijuana,8407,1
pneumonia,6611,1
feelings,6912,2
friend,5142,8
warn,8922,1
#fuckingignorant,5555,1
stop,409,109
warm,10219,1
voice,304,29
interests,5613,2
abraham,195,37
#unstoppable,10250,1
orchestra,6300,3
sexist,2567,2
boosiewhat,3275,1
#ineedtogrowup,7249,1
wars,2098,8
pretty,130,29
merely,5917,1
employing,2871,1
bond,8468,1
#decision2012,3949,11
#athiest,6796,1
liesss,8482,1
#whatareyoutalkingaboutmrpresident,2883,1
injuriesuh,9166,1
meat,2487,3
#collegetranscripts,1914,1
bone,1010,4
#getglue,6030,1
mean,513,61
lehrer,397,234
offense,6665,7
guiltlessly,6399,1
meal,9177,1
letterman,5276,1
office,326,47
niice,10312,1
#mitt's,8415,1
interrumpe,4884,1
boot,9565,1
mistake,6519,5
matter,635,32
website,3195,2
naturally,9668,1
#menlikepushingshoppingcarts,8237,1
steel,7143,1
domestic,7423,3
rules,1012,27
ruled,5432,2
boob,7508,1
#augreacts,7463,1
steet,10685,1
interupting,10384,1
creeping,1736,2
alternatives,3392,1
book,1971,6
boom,3124,12
substantive,4947,4
anne,10305,1
boon,6364,1
safedoes,1781,1
ernment,1475,1
framed,9518,1
bacon,6098,4
oscarthegrouch,7239,1
parts,5044,3
party,795,26
curtesy,10267,1
spoke,2182,2
middleincome,6180,1
promoting,9313,1
adresss,10434,1
schooling,7177,3
tent,10506,1
