Phrase,TextRankScore,RakeDegScore,RakeFreqScore,RakeDBFScore
obama ta medio cagado ,11.306551,2161.000000,844.000000,13.057143
el ,3.186312,102.000000,19.000000,5.368421
se ,0.954381,23.000000,8.000000,2.875000
de negro para ,6.717170,120.000000,38.000000,9.133333
y aadirle barrio ,1.861646,98.000000,19.000000,11.411765
de ,4.652636,94.000000,30.000000,3.133333
republicano ,0.000000,1.000000,1.000000,1.000000
buen tipo ,0.616156,9.000000,3.000000,5.500000
tweeting ,1.357472,31.000000,16.000000,1.937500
debating ,1.259375,13.000000,6.000000,2.166667
president obama ,16.837242,3163.000000,1279.000000,4.869216
last months ,4.241206,106.000000,48.000000,4.254083
weve seen million jobs ,11.257328,488.000000,196.000000,11.555733
private sector created ,4.414785,129.000000,46.000000,8.452381
president obama patted mitt romney ,36.537122,6700.000000,2460.000000,15.905006
shoulder ,0.000000,1.000000,1.000000,1.000000
tell people ,4.638308,273.000000,124.000000,3.880953
control ,1.801248,15.000000,6.000000,2.500000
higher ranking person ,2.283662,30.000000,15.000000,6.958333
right ,3.347605,133.000000,70.000000,1.900000
question ,4.370950,188.000000,123.000000,1.528455
going ,3.045736,145.000000,121.000000,1.198347
sure ,4.121664,103.000000,63.000000,1.634921
imagine ,0.364647,20.000000,18.000000,1.111111
romantic place ,4.944081,149.000000,73.000000,4.081203
wish ,0.849954,40.000000,27.000000,1.481481
#debates ,6.416638,435.000000,201.000000,2.164179
fools stop #mudslingin ,1.533015,35.000000,15.000000,8.230769
professor ,0.000000,1.000000,1.000000,1.000000
students ,1.427599,44.000000,17.000000,2.588235
#electionclass watch ,4.471111,189.000000,83.000000,4.280488
#debates ,6.416638,435.000000,201.000000,2.164179
social media lab ,2.262607,27.000000,10.000000,8.400000
put ,2.671387,36.000000,18.000000,2.000000
ring ,0.508802,3.000000,2.000000,1.500000
let ,3.141675,80.000000,33.000000,2.424242
fight ,1.777986,21.000000,15.000000,1.400000
want ,2.953716,101.000000,70.000000,1.442857
notice ,0.827665,16.000000,8.000000,2.000000
say ,2.833909,139.000000,64.000000,2.171875
even ,2.589357,66.000000,32.000000,2.062500
thought ,0.608471,12.000000,10.000000,1.200000
voting ,1.036157,20.000000,16.000000,1.250000
obama fuck ,12.620937,2175.000000,852.000000,4.807143
ideas ,2.132893,32.000000,14.000000,2.285714
hiring educators ,0.766262,15.000000,7.000000,4.166667
past years ,3.993059,97.000000,64.000000,3.220211
love ,2.242613,150.000000,94.000000,1.595745
live fact checks ,5.739994,224.000000,77.000000,8.284746
wonder ,0.977435,17.000000,17.000000,1.000000
