Word1,Word2,Likilihood Ratio,Frequency,Mean Distance,StandardDeviation,Variance
took,one,11.246908137578203,2,1.5,0.7071067811865476,0.5
asked,respond,17.598613554517613,2,2.0,0.0,0.0
big,city,9.546642363564246,1,1.0,0.0,0.0
america,loving,10.159618413377594,1,1.0,0.0,0.0
guy,mad,11.689524580586763,1,2.0,0.0,0.0
weird,hearing,13.065639071959936,1,1.0,0.0,0.0
specific,set,10.257515787658576,1,2.0,0.0,0.0
help,educational,8.402839590004362,1,2.0,0.0,0.0
met,named,10.434289187190089,1,3.0,0.0,0.0
years,loss,8.013185119495787,1,3.0,0.0,0.0
aint,lmao,12.362671895767505,1,2.0,0.0,0.0
slots,low,9.311869798384173,1,3.0,0.0,0.0
way,promised,8.477266881427802,1,3.0,0.0,0.0
personal,convincing,12.281614400583969,1,3.0,0.0,0.0
patriotism,difficult,11.890279409342853,1,1.0,0.0,0.0
romneys,hair,8.062767240415951,1,1.0,0.0,0.0
spending,mitt,19.236704151884624,5,2.0,2.23606797749979,5.0
live,iphone,9.981215087021766,1,2.0,0.0,0.0
needs,stay,9.803816275894462,1,2.0,0.0,0.0
oh,#presidentialdebates,10.758197312395417,1,3.0,0.0,0.0
sound,ideas,8.807797218888368,1,2.0,0.0,0.0
schools,ok,7.976554499234112,1,3.0,0.0,0.0
invest,education,72.04303556468932,7,1.4285714285714286,1.511857892036909,2.285714285714286
gets,catch,10.67495639806085,1,2.0,0.0,0.0
respect,saying,9.87900066390435,1,2.0,0.0,0.0
mitt,oil,7.895910613790392,2,3.0,0.0,0.0
race,#teamsnark,11.348868571102141,1,1.0,0.0,0.0
ole,screen,14.70942052933291,1,1.0,0.0,0.0
weve,jobs,116.01710967113036,12,3.0,0.0,0.0
#garyjohnsonforpresident,support,20.799774879955947,2,1.0,0.0,0.0
meaning,government,9.947373491583484,1,3.0,0.0,0.0
support,johnson,21.222033919320978,2,2.0,0.0,0.0
support,gary,21.69461345194975,2,1.0,0.0,0.0
gets,phrase,8.223453335788435,1,3.0,0.0,0.0
business,washington,14.065809225993782,1,2.0,0.0,0.0
anniversary,barak,11.678862217703355,2,2.0,1.4142135623730951,2.0
vagina,actually,11.03599613598422,1,1.0,0.0,0.0
stupid,name,10.68253524562013,1,1.0,0.0,0.0
solutions,#mitt2012,12.649191281210008,1,1.0,0.0,0.0
hair,distract,11.981161560970218,1,3.0,0.0,0.0
current,dung,15.11207255922643,1,1.0,0.0,0.0
small,laugh,10.281741722154038,1,1.0,0.0,0.0
usa,socialist,11.607314378845132,1,3.0,0.0,0.0
el,como,12.281614400583969,1,3.0,0.0,0.0
reducir,el,12.281614400583969,1,1.0,0.0,0.0
graph,undecided,24.902989276175845,2,0.5,3.5355339059327378,12.5
el,apoyar,12.281614400583969,1,2.0,0.0,0.0
teachers,#presidentialdebates,9.528901015026918,1,1.0,0.0,0.0
attend,school,12.768778478292521,1,1.0,0.0,0.0
looks,shook,8.132525305314303,1,1.0,0.0,0.0
slick,doe,14.065809225995537,1,1.0,0.0,0.0
weve,got,13.701551787014637,2,1.0,0.0,0.0
looks,confident,8.132525305314303,1,1.0,0.0,0.0
give,shit,23.224816664366244,3,2.0,0.0,0.0
looking,usa,9.010516641165367,1,3.0,0.0,0.0
friendly,tie,8.403661744898379,1,1.0,0.0,0.0
romney,refer,13.94990403314506,3,1.3333333333333333,0.5773502691896258,0.33333333333333337
applause,rules,12.791321692286715,1,2.0,0.0,0.0
voters,ran,10.079941062149118,1,2.0,0.0,0.0
home,watch,11.27981026302075,2,2.0,0.0,0.0
tie,podium,29.999293650202844,3,3.0,0.0,0.0
boys,rich,16.29689530769746,1,3.0,0.0,0.0
tie,matches,27.177325840726056,3,1.0,0.0,0.0
reforms,now,9.110422213401499,1,3.0,0.0,0.0
#potus,#jobs,12.076439584509046,1,2.0,0.0,0.0
join,state,12.112191494404094,1,2.0,0.0,0.0
fantasy,football,15.250515493915763,1,1.0,0.0,0.0
oh,#mitt,9.174567623670384,1,1.0,0.0,0.0
season,one,19.66458724443058,2,2.0,1.4142135623730951,2.0
coming,#denverdebate,10.196333933272939,2,2.5,0.7071067811865476,0.5
handshake,gay,12.568756447130099,1,1.0,0.0,0.0
watch,gotta,14.22842123309593,2,1.0,2.8284271247461903,8.0
asked,#mitt,9.091501544705295,1,1.0,0.0,0.0
private,r,10.280582241467712,1,3.0,0.0,0.0
help,us,19.409781321834203,4,1.5,1.0,1.0000000000000002
taking,book,12.186585326794372,1,3.0,0.0,0.0
us,household,9.15500050629241,1,1.0,0.0,0.0
says,brain,8.635070976717593,1,2.0,0.0,0.0
reducing,use,11.464816906253475,1,2.0,0.0,0.0
many,women,29.753117659648268,3,1.6666666666666667,1.1547005383792517,1.3333333333333335
economy,information,10.923399385302396,1,3.0,0.0,0.0
barack,said,10.933566796804598,3,2.0,0.0,0.0
terrible,speaker,10.782636189212496,1,2.0,0.0,0.0
barack,already,8.220252109763805,2,0.5,2.1213203435596424,4.5
work,household,11.155326909751,1,3.0,0.0,0.0
news,#denverdebate,10.718892570561252,2,1.0,0.0,0.0
always,colleges,9.730537140995466,1,3.0,0.0,0.0
passes,1st,11.282247836810527,1,2.0,0.0,0.0
1st,test,9.559651090972217,1,1.0,0.0,0.0
economy,jill,9.87900066390435,1,2.0,0.0,0.0
economy,segment,9.87900066390435,1,1.0,0.0,0.0
good,delivery,9.088502136400464,1,1.0,0.0,0.0
offering,sex,13.386446039892313,1,3.0,0.0,0.0
fooled,lies,13.837352044086117,1,3.0,0.0,0.0
#denverdebate,shook,12.941768912691728,2,0.5,3.5355339059327378,12.5
always,campaign,8.408227364692266,1,3.0,0.0,0.0
always,part,8.532667921380039,1,1.0,0.0,0.0
actual,human,9.490289246000827,1,1.0,0.0,0.0
anniversary,barack,10.185371343465704,5,1.4,2.6076809620810595,6.800000000000001
room,tells,10.982679598101015,1,2.0,0.0,0.0
clear,something,8.590857754554719,1,1.0,0.0,0.0
af,sure,8.130301165648476,1,2.0,0.0,0.0
fun,play,10.870642124638309,1,2.0,0.0,0.0
tweeting,biased,11.589781892630079,1,2.0,0.0,0.0
places,class,9.079288470724741,1,3.0,0.0,0.0
many,rights,8.935120937334162,1,1.0,0.0,0.0
barack,starts,9.07390947863638,2,2.0,0.0,0.0
good,start,53.92629422880918,8,1.25,0.7071067811865476,0.5
many,trash,9.336316387794838,1,1.0,0.0,0.0
#beinformed,#election2012,11.890279409342853,1,1.0,0.0,0.0
barack,michelle,71.86197767204271,12,1.7500000000000002,1.2880570286640687,1.6590909090909094
worn,larger,14.571035823888472,1,2.0,0.0,0.0
romney's,yah,8.982385021810234,1,2.0,0.0,0.0
best,#denverdebate,9.800615596185821,4,1.0,2.70801280154532,7.333333333333333
many,#zingers,9.336316387794838,1,1.0,0.0,0.0
couple,un,15.11207255922643,1,2.0,0.0,0.0
lapel,smaller,10.782636189204311,1,3.0,0.0,0.0
mrs,o,8.204069213694083,1,1.0,0.0,0.0
gave,us,11.390814266621248,2,2.0,1.4142135623730951,2.0
