Word,Prob,Freq,Index
romney,0.04952,1506,20
mitt,0.04074,1239,19
obama,0.02598,790,4
#debates,0.02137,650,50
like,0.01427,434,84
president,0.01335,406,3
just,0.01223,372,68
debate,0.00835,254,156
#presidentialdebate,0.00753,229,29
#denverdebate,0.00737,224,141
get,0.00645,196,21
#obama,0.00589,179,244
small,0.00533,162,169
#debate,0.00506,154,221
know,0.00487,148,83
#romney,0.00483,147,104
going,0.00483,147,40
looks,0.00464,141,205
shit,0.00464,141,56
want,0.00457,139,92
say,0.00444,135,94
jobs,0.00414,126,10
people,0.00411,125,17
business,0.00404,123,406
ass,0.00365,111,428
tax,0.00362,110,284
lol,0.00362,110,28
already,0.00355,108,191
fuck,0.00352,107,102
look,0.00345,105,213
watching,0.00342,104,187
time,0.00339,103,142
vote,0.00332,101,747
energy,0.00326,99,91
romney's,0.00319,97,323
#obama2012,0.00316,96,64
think,0.00316,96,25
now,0.00312,95,460
says,0.00309,94,471
talking,0.00306,93,432
really,0.00306,93,120
even,0.00306,93,100
#teamobama,0.00299,91,192
america,0.00296,90,387
said,0.00296,90,196
right,0.00293,89,38
face,0.00280,85,271
us,0.00276,84,382
china,0.00273,83,968
taxes,0.00273,83,350
one,0.00273,83,14
see,0.00270,82,441
plan,0.00260,79,784
pay,0.00260,79,699
years,0.00260,79,118
make,0.00256,78,553
go,0.00250,76,183
need,0.00247,75,301
got,0.00243,74,70
rich,0.00237,72,351
saying,0.00233,71,195
watch,0.00233,71,60
cut,0.00230,70,285
man,0.00227,69,214
presidential,0.00227,69,145
dont,0.00224,68,283
much,0.00217,66,549
wants,0.00217,66,385
take,0.00217,66,381
gonna,0.00214,65,352
#debate2012,0.00214,65,41
question,0.00214,65,39
black,0.00210,64,556
good,0.00210,64,291
hear,0.00201,61,1000
better,0.00197,60,363
answer,0.00191,58,237
guy,0.00187,57,1109
tonight,0.00187,57,425
every,0.00187,57,149
feel,0.00184,56,353
education,0.00184,56,303
back,0.00181,55,251
way,0.00178,54,396
talk,0.00178,54,299
first,0.00171,52,230
help,0.00168,51,495
obama's,0.00168,51,85
looking,0.00161,49,216
nigga,0.00158,48,504
barack,0.00158,48,162
wanna,0.00155,47,1002
#tcot,0.00155,47,635
money,0.00151,46,538
invest,0.00148,45,652
wait,0.00145,44,1016
win,0.00145,44,886
voice,0.00141,43,1008
crack,0.00141,43,967
oh,0.00141,43,933
real,0.00141,43,261
still,0.00138,42,988
trying,0.00138,42,318
#romneyryan2012,0.00138,42,97
sounds,0.00135,41,233
country,0.00135,41,111
voting,0.00135,41,101
start,0.00135,41,54
businesses,0.00132,40,1387
hate,0.00132,40,690
never,0.00132,40,557
give,0.00132,40,339
takes,0.00128,39,168
actually,0.00128,39,18
job,0.00125,38,642
makes,0.00125,38,550
#mittromney,0.00125,38,403
thing,0.00125,38,292
something,0.00122,37,816
minutes,0.00122,37,561
work,0.00122,37,497
twitter,0.00122,37,308
ever,0.00122,37,200
fucking,0.00118,36,22
trade,0.00115,35,1426
everything,0.00115,35,1232
dumb,0.00115,35,682
things,0.00115,35,585
mouth,0.00115,35,567
two,0.00115,35,560
class,0.00115,35,391
love,0.00115,35,128
politics,0.00115,35,15
everyone,0.00112,34,985
damn,0.00112,34,907
economy,0.00112,34,665
believe,0.00112,34,566
though,0.00109,33,1895
old,0.00109,33,1486
ain't,0.00109,33,1026
funny,0.00109,33,874
hell,0.00109,33,683
new,0.00109,33,675
bitch,0.00109,33,503
tv,0.00109,33,349
stop,0.00109,33,52
nothing,0.00105,32,530
bullshit,0.00105,32,347
industry,0.00105,32,249
ha,0.00102,31,2980
stupid,0.00102,31,552
independence,0.00102,31,364
blah,0.00099,30,3291
game,0.00099,30,811
white,0.00099,30,627
election,0.00099,30,469
middle,0.00099,30,390
sure,0.00099,30,42
drinking,0.00095,29,810
different,0.00095,29,395
lmao,0.00095,29,286
well,0.00095,29,121
agree,0.00095,29,90
person,0.00095,29,37
needs,0.00092,28,600
knows,0.00092,28,404
auto,0.00092,28,248
trickle,0.00092,28,107
mean,0.00092,28,71
hard,0.00089,27,2325
bush,0.00089,27,1762
budget,0.00089,27,1429
american,0.00089,27,883
yes,0.00089,27,298
always,0.00089,27,270
care,0.00089,27,186
anything,0.00089,27,166
made,0.00085,26,1836
joke,0.00085,26,507
bad,0.00085,26,354
shut,0.00085,26,341
tell,0.00085,26,32
lying,0.00082,25,1933
yeah,0.00082,25,1706
