Word1,Word2,Likilihood Ratio,Frequency,Mean Distance,StandardDeviation,Variance
renewable,energy,9.341824226798582,1,1.0,0.0,0.0
saying,lolol,8.925336572058882,1,1.0,0.0,0.0
crack,#china,20.919413857637892,2,3.0,0.0,0.0
mitt,annoys,8.605248557093802,2,2.5,0.7071067811865476,0.5
believes,particular,16.65723945670194,1,3.0,0.0,0.0
romney's,energy,9.9444716568471,3,2.6666666666666665,0.5773502691896258,0.33333333333333337
yeah,heard,18.190548025565363,2,2.5,0.7071067811865476,0.5
butthole,college,12.641804837706516,1,2.0,0.0,0.0
candidate,enough,10.641490244811067,1,3.0,0.0,0.0
rock,house,14.197638566542537,1,2.0,0.0,0.0
warning,guys,12.436548627755233,1,2.0,0.0,0.0
supposed,burn,12.546737371890536,1,2.0,0.0,0.0
y'all,stamps,9.186652481625288,1,2.0,0.0,0.0
supposed,study,12.546737371890536,1,2.0,0.0,0.0
y'all,food,8.515900095441339,1,1.0,0.0,0.0
mf,times,11.028485965887604,1,1.0,0.0,0.0
uh,lookin,34.17740599980556,3,2.0,1.0,1.0
stickers,rich,10.02588715805296,1,2.0,0.0,0.0
strong,schools,10.766377145484824,1,1.0,0.0,0.0
making,mad,20.93672322677341,2,2.5,0.7071067811865476,0.5
head,hair,16.75123910297424,2,2.0,0.0,0.0
prefer,mitt's,11.544743118635537,1,1.0,0.0,0.0
kid,taking,12.217830958752387,1,3.0,0.0,0.0
gorgeous,got,8.78878171298414,1,3.0,0.0,0.0
bet,tlkn,12.341323162482578,1,3.0,0.0,0.0
lying,nobody,20.607231454583655,2,2.0,0.0,0.0
management,approach,15.472397501437317,1,2.0,0.0,0.0
echo,#cspan2012,15.069735867374092,1,3.0,0.0,0.0
arm,looking,10.715470714608724,1,2.0,0.0,0.0
didnt,attention,11.028485965887604,1,2.0,0.0,0.0
lets,gettin,13.592698626957716,1,3.0,0.0,0.0
idc,economy,8.616345809924994,1,3.0,0.0,0.0
majority,americans,11.547109810343045,1,2.0,0.0,0.0
knows,grow,9.621784014472055,1,3.0,0.0,0.0
shit,looking,11.896661677772727,3,1.0,3.4641016151377544,12.0
wants,energy,18.313112260333924,4,1.75,0.9574271077563381,0.9166666666666666
energy,america,16.14085097426573,4,0.75,2.0615528128088303,4.25
us,energy,22.854771068346963,5,1.8,1.0954451150103324,1.2000000000000002
y'all,new,15.099499539161911,2,0.5,3.5355339059327378,12.5
n,power,11.02848596587927,1,2.0,0.0,0.0
keep,rich,21.0095665722709,3,0.6666666666666667,3.2145502536643185,10.333333333333334
majority,bush,10.356429963892879,1,2.0,0.0,0.0
watch,account,9.968425662279053,1,3.0,0.0,0.0
lmaoooo,fox,12.870590872048687,1,3.0,0.0,0.0
running,path,9.668108968234122,1,3.0,0.0,0.0
produce,want,8.664864528076475,1,3.0,0.0,0.0
funny,moment,10.532856146772872,1,3.0,0.0,0.0
single,one,18.10417679682628,2,1.0,0.0,0.0
liking,sling,16.657239456691357,1,1.0,0.0,0.0
latino,today,13.129007355709831,1,2.0,0.0,0.0
tan,today,10.89961481802905,1,1.0,0.0,0.0
denies,cut,21.803872624784262,2,2.0,0.0,0.0
#mitt,#mitt,28.720621529260086,3,1.3333333333333333,0.5773502691896257,0.3333333333333333
romney,said,58.822339267337384,24,0.6249999999999999,1.7646898976258147,3.114130434782609
yeah,voice,13.823055440077383,2,2.5,0.7071067811865476,0.5
romney's,bloodshot,9.30089428062485,1,3.0,0.0,0.0
god,adorable,13.129007355709831,1,3.0,0.0,0.0
idk,always,8.502339575579555,1,3.0,0.0,0.0
#denverdebate,#tcot,9.428325532999565,3,0.6666666666666667,1.5275252316519468,2.3333333333333335
tho,romney,18.534772751375442,6,0.16666666666666666,2.228601953392904,4.966666666666667
romney,already,43.63482026856991,22,0.6818181818181818,2.190593823304836,4.798701298701299
eat,popcorn,12.928946921225936,1,2.0,0.0,0.0
republicans,abt,12.049599786165011,1,2.0,0.0,0.0
romney,saying,43.01800293504971,18,1.0555555555555556,2.1820719301839553,4.761437908496732
approach,phrases,15.472397501437317,1,2.0,0.0,0.0
creepy,#denverdebate,10.500451212477259,2,1.0,0.0,0.0
romney,sound,14.649588568045544,6,0.6666666666666665,1.8618986725025255,3.4666666666666663
face,shit,8.751920856711195,3,1.3333333333333335,2.081665999466133,4.333333333333334
supposed,attention,8.649719844165588,1,3.0,0.0,0.0
use,bain,9.923584213823887,1,2.0,0.0,0.0
make,rain,9.728571936173516,1,2.0,0.0,0.0
romney,go,9.181330872057856,9,1.0,2.345207879911715,5.5
ohh,good,9.13380412651177,1,3.0,0.0,0.0
jump,single,15.472397501437317,1,3.0,0.0,0.0
romney,small,11.047603589699293,15,1.8666666666666667,1.5522640914238175,2.4095238095238094
anything,romney,16.492836699516147,7,1.2857142857142856,1.9760470401187076,3.904761904761905
trade,agreements,11.515382741090434,1,1.0,0.0,0.0
shit,lmao,8.385911399721294,2,1.0,0.0,0.0
po,sound,12.250431397953129,1,3.0,0.0,0.0
debate,romney,19.349085743565865,25,0.9599999999999999,2.4406283343980637,5.956666666666667
ever,felt,11.283416739329134,1,1.0,0.0,0.0
talk,shit,39.1184303058111,7,1.0,0.0,0.0
#mute,#mute,17.70368711083119,1,2.0,0.0,0.0
india,stupid,11.708953255018447,1,2.0,0.0,0.0
allowed,watch,8.249147705109678,1,2.0,0.0,0.0
romney,barack,11.66746312283783,8,1.5,1.511857892036909,2.285714285714286
time,romney,12.72962688712687,12,2.2500000000000004,0.621581560508061,0.3863636363636363
#solar,businesses,10.132168411686884,1,1.0,0.0,0.0
talks,wind,8.244161485486728,1,1.0,0.0,0.0
need,energy,17.549668139250798,4,2.5,1.0,1.0
education,energy,34.624288591023515,6,1.0,2.0976176963403033,4.4
always,excuse,8.75177835316984,1,3.0,0.0,0.0
idiot,reelect,13.2719375767219,1,2.0,0.0,0.0
moderating,oh,9.304781119573207,1,2.0,0.0,0.0
outsourcing,latin,11.824872860888696,1,3.0,0.0,0.0
happens,republicans,12.049599786165011,1,2.0,0.0,0.0
romney,talks,18.71401588678475,7,1.0,1.1547005383792515,1.3333333333333333
fucking,idiot,16.813331457902905,2,1.0,0.0,0.0
expensive,renewable,17.70368711083119,1,1.0,0.0,0.0
romney,really,11.604582992037422,11,0.9090909090909091,1.8140862964338522,3.2909090909090906
romney,full,31.915424958654796,9,2.1111111111111116,0.6009252125773314,0.36111111111111105
happened,#cnbc2012,12.72283356196914,1,2.0,0.0,0.0
killed,guys,9.806294556759454,1,3.0,0.0,0.0
bush,gets,7.980389002483946,1,3.0,0.0,0.0
abc,debates,9.677143227954915,1,1.0,0.0,0.0
growing,class,9.56082744306078,1,3.0,0.0,0.0
nice,goin,10.523969856382948,1,2.0,0.0,0.0
jobs,left,8.77060899462208,1,1.0,0.0,0.0
us,money,8.408722497369126,2,2.5,0.7071067811865476,0.5
q,creating,12.24978852788174,1,1.0,0.0,0.0
anybody,em,27.71202298398181,2,3.0,0.0,0.0
imprison,w,10.91746358871982,1,3.0,0.0,0.0
fuck,romney,107.95586933526693,36,1.4999999999999998,1.7968225924034427,3.2285714285714286
anybody,luv,31.530378421759675,2,2.0,0.0,0.0
anybody,dat,28.61983313684911,2,1.0,0.0,0.0
voting,romney,47.63841107864869,15,2.6,1.2983506020002014,1.6857142857142855
romney,even,20.452311294276342,14,1.0714285714285714,2.1290765681316004,4.532967032967033
talk,foreign,8.371586864005764,1,1.0,0.0,0.0
china,allows,8.63642360725403,1,2.0,0.0,0.0
china,cheats,21.104697615808625,2,1.0,0.0,0.0
make,us,24.77055403336226,5,1.0,0.0,0.0
bingo,extra,15.977691944103015,1,3.0,0.0,0.0
burn,hell,10.532856146772872,1,2.0,0.0,0.0
folks,trusted,15.472397501432255,1,3.0,0.0,0.0
close,deficit,8.3348037495862,1,2.0,0.0,0.0
edu,training,13.129007355700367,1,1.0,0.0,0.0
seems,started,7.89747018035149,1,3.0,0.0,0.0
legit,black,9.133804126515429,1,1.0,0.0,0.0
abt,height,15.977691944103015,1,3.0,0.0,0.0
star,lmaoo,15.97769194409996,1,2.0,0.0,0.0
fucking,knowledge,10.29413735349403,1,1.0,0.0,0.0
sneaky,bastard,13.241545624590415,1,1.0,0.0,0.0
bastard,speaks,10.899614818034479,1,1.0,0.0,0.0
many,tweets,18.48645460975041,2,1.0,0.0,0.0
tell,kidding,9.220387356426812,1,3.0,0.0,0.0
need,tag,8.78878171298414,1,2.0,0.0,0.0
lookin,ass,14.270879990145744,2,1.0,0.0,0.0
class,claims,9.56082744306078,1,1.0,0.0,0.0
dumb,jackass,11.396032729694344,1,1.0,0.0,0.0
hold,us,25.622794499179122,3,1.0,0.0,0.0
mitt,serious,8.096559647347306,3,2.0,0.0,0.0
mitt,voice,21.11598068638102,9,1.5555555555555556,1.3333333333333335,1.777777777777778
one,definitely,7.912575261021004,1,1.0,0.0,0.0
hear,mitt,27.507310834568443,12,1.25,1.5447859516333116,2.3863636363636362
mitt,wanna,24.213825270435564,10,0.6,2.503331114069145,6.266666666666667
independence,educate,9.919149537951121,1,3.0,0.0,0.0
college,liberals,12.641804837706516,1,2.0,0.0,0.0
asked,respond,11.27099056320062,1,2.0,0.0,0.0
spout,platitudes,16.65723945670194,1,1.0,0.0,0.0
helped,looking,8.994049813270522,1,3.0,0.0,0.0
proper,education,10.375456436154881,1,1.0,0.0,0.0
lies,#mittromney,15.518023396876401,2,2.5,0.7071067811865476,0.5
uncomfortable,nervous,11.700962103690586,1,3.0,0.0,0.0
y'all,tune,8.168916773320433,1,3.0,0.0,0.0
fuck,nigga,13.57825662414109,3,2.0,1.0,1.0
hate,ha,13.065951611467426,2,2.5,0.7071067811865476,0.5
china,schools,12.91777347474249,2,1.5,0.7071067811865476,0.5
took,zero,13.42588716644687,1,1.0,0.0,0.0
hour,guys,9.806294556759454,1,3.0,0.0,0.0
looks,goddamn,8.592636487706823,1,3.0,0.0,0.0
gotten,botox,13.241545624590415,1,1.0,0.0,0.0
involved,big,11.707255164255976,1,2.0,0.0,0.0
dat,cant,10.208031863983237,1,1.0,0.0,0.0
slap,damn,8.827092629828556,1,2.0,0.0,0.0
promise,kept,61.254132322355005,4,1.0,0.0,0.0
comedy,central,30.265198874608572,2,1.0,0.0,0.0
create,#jobs,21.586444366865123,2,1.5,0.7071067811865476,0.5
mitt,ain't,21.61679682276514,8,1.625,1.9226098333849673,3.6964285714285716
stay,home,9.923584213823887,1,2.0,0.0,0.0
invest,education,131.74389775316678,14,2.0,0.0,0.0
correct,shade,15.472397501432255,1,1.0,0.0,0.0
ross,lol,9.089692937063337,1,2.0,0.0,0.0
wilson,right,9.492093258701647,1,2.0,0.0,0.0
felt,love,11.283416739329134,1,3.0,0.0,0.0
stay,food,9.501735368046894,1,3.0,0.0,0.0
stupid,plans,8.746968109437589,1,1.0,0.0,0.0
sandwich,minutes,11.338930767936471,1,2.0,0.0,0.0
voice,west,9.934856093286818,1,3.0,0.0,0.0
romney,bashing,9.515608629985852,2,1.0,2.8284271247461903,8.0
booming,thanks,15.069735867372525,1,2.0,0.0,0.0
