hospitals,789,8,NNS,
hello,683,3,UH,
bullying,827,5,NNP,VBG,
mehe,10325,1,
entire,403,17,JJ,
headache,4464,1,NN,
vaca,6734,1,NN,
anyone,433,86,NN,
#americascomebackteam,9381,1,NN,
ashbrook,8908,1,NNP,
blackfashion,3567,1,NN,
brown,1101,6,JJ,NNP,
#novacane,8821,1,NN,
attacking,5152,6,VBG,
#pmsaprobs,10042,1,NNS,
juntos,10149,1,FW,
rock,2615,5,NNP,NN,
jacks,6071,1,NNS,
unprivileged,5992,1,JJ,
naacp,7150,1,NNP,
#rolltide,6272,1,NN,
envisions,6670,1,VBZ,
tolerance,1133,18,NN,
youtube,3913,1,NNP,
straightwe,3244,1,
chicfila,9176,1,
hasta,7725,2,NN,FW,
border,6020,4,NN,NNP,
phoneafriend,5112,1,
vibes,9639,1,NNS,
luzerne,7326,1,NNP,
someday,6202,1,RB,
spanish,3775,1,JJ,
xmas,7147,2,NNS,NNP,
eigen,8877,1,NN,
menu,8746,1,NN,
rascal,3694,1,NN,
peeves,7263,1,NNS,
hahahha,9360,1,NN,
job,108,105,NN,NNP,
shoulders,5988,1,NNS,
#wimp,9628,1,NN,
sandwiches,6938,1,NNS,
yachting,7999,1,NN,
#godblessamerica,9447,1,NNP,
bozo,689,1,NNP,
regain,6232,1,VB,
weave,8178,2,NN,
#1percent,7893,1,
scene,10422,1,NN,
western,9596,1,JJ,
pupils,7643,1,NNS,
publicly,10570,1,RB,
crossword,2318,1,NN,
romneycould,5643,1,
looooool,6805,1,JJ,
commenting,5566,1,VBG,
assistance,2779,5,NN,
mandate,2454,5,VB,NN,
briefs,1894,2,NNS,
thought,26,48,VBD,NN,NNP,VBN,
road,1703,5,NN,
whips,8578,1,VBZ,
space,4107,5,NNP,NN,
#denverconvention,1151,1,NN,
hmmm,2328,6,NNP,NN,VB,
joe,1156,11,NNP,NN,
soulja,3251,1,NNP,
boys,6126,5,NNS,
#teamoba,1107,1,NN,
mavericks,8572,1,NNPS,
rather,192,15,RB,NNP,
jon,4433,3,NNP,
#touchdown,818,1,JJ,
#toolegittomitt,1773,1,NN,
melt,4081,1,VB,
askboxers,8635,1,
marketing,6342,1,NNP,
retort,5872,3,NN,
focuses,7467,1,VBZ,
officials,8891,1,NNS,
subconscious,5400,1,NN,
helps,6960,1,VBZ,
marijuana,3615,4,NN,NNP,
psychologist,5257,1,NN,
mansions,5946,2,NNS,
indies,4497,1,NNP,
#debatefun,9531,1,NN,
asians,3778,1,NNS,
gibberish,3678,1,NN,
butbutbut,9288,1,NNP,
pivotal,6913,1,JJ,
recall,1137,4,VB,VBP,
worried,4061,7,VBN,JJ,
chirstmas,9880,1,NNS,
alien,525,1,JJ,
preferor,8719,1,
mustache,3832,2,NN,
#fox,9712,1,VBD,
warning,6814,1,NN,
coraline,1077,1,NNP,
wealthier,4876,1,JJR,
single,1691,13,JJ,
perdido,927,1,FW,
monday,4848,2,NNP,
abouta,8655,1,JJ,
#supportbigbird,273,23,VBD,NN,NNP,JJ,
mess,2571,18,NN,
#alltalk,7486,1,NN,
every,208,120,DT,NNP,
spain,10597,1,NNP,
posed,6954,1,VBD,
eight,3003,5,CD,
generationdo,1516,1,
#cancer,6033,3,NN,VBN,
jim,249,270,NNP,NN,
whine,4028,1,VB,
fumes,10607,1,VBZ,
butobama,2335,2,
uhms,2964,1,NNS,
focused,1623,7,VBD,VBN,
pray,4209,6,VB,VBP,NN,NNP,
valget,8512,1,NN,
viral,7987,1,JJ,
grandma,2586,5,NNP,NN,
wrap,6970,2,VB,NN,
#champ,9540,1,NN,
rofl,1625,3,RB,NNS,NNP,
richest,9439,1,JJS,
exciting,8950,1,JJ,
importancia,10152,1,FW,
theatre,8345,1,NNP,
tangent,4971,2,NN,
talkdon't,9104,1,
villify,7422,1,VB,
#thatsmyview,2767,1,NN,
culter,5589,1,NNP,
beers,9543,2,NNS,
pushover,10132,1,NN,
superman,10000,1,JJ,
3in,3064,1,JJ,
obammaaaa,8319,1,NN,
grandpa,2015,2,NN,
chess,4063,1,NNP,
chest,10056,1,NN,
defensive,8429,2,JJ,NN,
security,2500,8,NN,NNP,
encase,8798,1,VB,
govobviously,2604,1,
kalifa,2627,1,NN,
#jupiter,6403,1,NN,
stephen,2782,2,NN,NNP,
gifted,9709,1,JJ,
flailing,2428,1,VBG,
drug,5338,3,NN,NNP,
#hemad,6839,1,NN,
puzzle,2319,1,NN,
brooo,8153,1,NN,
answering,1067,8,VBG,
dodge,1709,4,VBP,NNP,VB,
calon,7928,2,NNP,
uobama,7435,1,
morons,6702,1,NNS,
shifted,9699,1,VBN,
meow,1707,1,NN,
damnn,2812,1,VB,
accidentally,5835,1,RB,
ctfuuuuu,2933,1,
brightest,4140,1,JJS,
advisor,9216,1,NN,
butfck,8036,1,
debunking,4065,1,VBG,
#liberalforlife,4602,1,JJ,
sugar,6939,1,NN,
rooting,5886,2,VBG,
feeds,7361,1,VBZ,
discussion,1347,2,NN,
appear,3844,4,VBP,VB,
clinic,219,5,NNP,NN,
arent,6744,2,VB,VBP,
itt,7656,1,NNP,
#bullbythehorns,137,1,NNS,
teachers,107,137,NNS,NNPS,
halloween,988,5,NN,NNP,
practices,9584,1,NNS,
whhhhhat,8654,1,NN,
although,3413,3,IN,
shelter,9664,1,NNP,
practicing,3494,4,VBG,
drink,70,22,NN,VB,VBP,
appeal,793,4,VB,NN,
#republicanprobs,9197,1,NNS,
republicans,1195,35,NNPS,NNS,
throat,5637,2,NN,
jorge,10643,1,NNP,
cheat,3210,6,VB,VBP,
terribly,7022,1,RB,
sour,10475,1,JJ,
teitter,6882,2,NN,
#yes,5099,1,NNS,
republican,1531,53,JJ,NNP,VB,NN,
soul,8229,1,NN,
#moderator,10189,1,NN,
discussing,4142,2,VBG,
prez,1920,19,NN,JJ,NNP,FW,
suggest,6309,1,VBP,
pres,1881,23,NNP,JJ,NNS,
soup,8190,2,NN,
calls,3481,10,NNPS,VBZ,
prep,1227,12,JJ,NN,VBP,
boondocks,2877,1,NNS,
showsromney,8781,1,
loaded,6570,1,VBN,
linebylining,3473,1,
ketchup,3152,1,NN,
terrible,2195,15,JJ,
#americansareidiots,9606,1,NNS,
favor,1803,13,NN,VB,VBP,NNP,
boxing,2939,3,NN,NNP,
crickets,6620,4,NNS,NNPS,
indicates,7967,1,VBZ,
cheap,8794,1,JJ,
andor,7274,1,
press,727,5,VB,NNP,NN,
sort,3031,6,NN,
zooted,5945,1,NNP,
meth,3880,4,NNP,NN,
hacia,4756,3,NN,FW,
thugs,10710,1,NNS,
expensive,5195,5,JJ,
hasnt,1721,4,JJ,NN,VBD,
downloaded,8586,1,FW,
laundry,4492,1,NN,
iron,4779,1,NN,
copout,9666,1,NN,
graduation,7332,1,NN,
absolute,3458,2,JJ,
sore,6837,1,JJ,
mets,9974,1,NNPS,
pinhaaaa,3742,1,
candidates,42,70,NNS,NNP,
tupay,9748,1,NN,
sarcasm,9774,1,NN,
could've,9864,1,
documents,1210,10,NNS,
#stupidpeoplevoteforstupidthings,7050,1,NNS,
dissin,9173,1,VBP,
rates,4270,7,NNS,
beems,7397,1,NNS,
michigan,336,4,NNP,NN,
#liberalparty,8669,1,NNP,
facial,6502,6,JJ,
invested,2857,3,VBD,VBN,
printed,3748,1,VBN,
brotha,9735,1,NN,
ive,4443,3,NN,NNP,
overly,2852,1,RB,
elementary,7848,1,JJ,
#timesarechanging,6526,1,VBG,
cartoon,4925,3,NN,
#voterepublican,2630,1,JJ,
cara,4573,1,FW,
emergency,5124,3,NN,
#thankyousir,9255,1,NN,
#bills,9161,1,NNS,
thump,9903,1,NN,
must,723,56,MD,NN,NNP,
highwayi,10346,1,
friends,1430,13,NNS,
bowles,8520,4,NNP,
practical,3474,1,JJ,
cars,6211,2,NNS,
thunk,6331,1,NN,
care,216,215,NN,VB,NNP,VBP,
card,1907,12,NN,
moist,5926,1,NN,
christopher,5265,1,NNP,
mutherfcking,5034,1,
bowes,9287,1,NNP,
repetitive,9044,2,JJ,
#southpark,4624,1,NN,
mute,1526,6,VB,JJ,NNP,
jews,10307,1,NNPS,
ion,9747,1,NNP,
assuming,10040,1,VBG,
agreed,653,13,VBD,VBN,
freaks,3563,1,NNS,
declaration,1844,19,NN,
ios,7920,1,NNP,
#respct,5869,1,NN,
spare,3263,1,JJ,
tupac,7107,1,NN,
#didntreadthebill,6754,1,NN,
cart,4470,1,NN,
#medicareforall,3314,1,NNP,
rabbi,9725,1,NN,
cast,4320,3,VB,VBN,
massechusetts,2117,1,NNS,
inflatable,2236,1,JJ,
ordeal,4564,1,NN,
shovel,1337,2,NN,
argued,2260,4,VBN,VBD,
cash,2250,4,NN,VB,
fluff,3757,3,NN,
case,963,19,NN,NNP,
oldest,7871,1,JJS,
song,443,5,NN,
walking,2982,9,VBG,
argues,7137,2,VBZ,
publicized,9336,1,VBN,
lakes,4737,1,NNS,
emboldened,7096,1,VBN,
#helyinh,7648,1,JJ,
singapore,5712,1,NNP,
44th,8935,1,JJ,
ish,7550,1,NN,
continuously,8367,4,RB,
pursue,1931,30,VB,
clinch,4554,1,VBP,
commentary,5395,1,NN,
methuselah,6731,1,NNP,
legalize,7568,2,VB,
interrupted,276,28,VBD,NNP,VBN,JJ,
#endthelockout,8633,1,NN,
drill,667,1,VB,
agrees,2112,3,VBZ,
beneath,7519,1,IN,
plague,2556,1,NN,
creditable,6197,1,JJ,
wrestling,4963,2,NN,
strength,1145,11,NN,
recycled,8699,1,JJ,
deptand,8223,1,
explainno,8605,1,
helped,3718,5,VBN,VBD,
sooo,2954,11,JJ,RB,NN,NNP,
soon,372,12,RB,
catholic,4528,1,JJ,
ira,8909,1,NNP,
sons,3439,2,NNS,
prohibited,6880,3,VBN,NNP,
executives,1884,2,NNS,
windmills,10044,1,NNS,
romneycare,726,12,JJ,NNP,NN,
brushing,7974,1,NN,
giant,3840,3,JJ,
zerg,8888,1,NNP,
karakter,7474,1,NNP,
everything,317,73,NN,NNP,VBG,
feels,741,12,VBZ,
zero,3046,7,CD,NNP,
pinky,10350,1,NN,
feeln,4818,1,NN,
draw,1211,3,VB,
camp,3825,4,NN,
lambert's,3478,1,
drive,6595,1,VB,
#female,4691,1,JJ,
valerie,8847,1,NNP,
working,222,24,VBG,NN,
confusion,3103,1,NN,
thousands,1776,3,NNS,
attracted,6333,1,VBD,
axelrodare,4547,1,
fukn,5425,2,JJ,
disrespecting,43,2,VBG,
stalin,6921,1,NNP,
outset,4893,1,NN,
matters,7565,5,NNS,VBZ,
jets,9234,1,NNS,
#potus,2067,9,NN,NNP,JJ,VBP,
pshaw,7233,1,RB,
#cantaf,4832,1,NN,
ratchets,8180,3,NNS,
cans,541,3,NNS,
dubitativo,6694,1,NNP,
cant,1843,43,NNP,VBP,FW,NN,JJ,VBD,
skirted,6094,1,VBD,
cabbage,9224,1,NNP,
prezz,6867,1,JJ,
combination,1727,1,NN,
proposing,6050,3,VBG,
yeshuh,5221,1,
hallway,7809,1,NN,
dance,5461,3,NN,VB,
culture,10409,1,NN,
marinate,8671,1,VB,
cagefight,4696,1,NN,
stream,3426,3,NN,
molester,8270,1,NN,
lmaoooo,8286,1,NNP,
woodwinds,6301,1,NNS,
centers,7426,3,NNPS,NNS,
#bobbyvforpres,7555,1,NNS,
operated,7615,3,VBD,VBN,
evidenced,9877,1,VBN,
ridin,4155,1,VBP,
purposely,3829,2,RB,
unamerican,4006,2,JJ,
ummdid,9796,1,
prob,5805,1,JJ,NN,
prod,986,2,NN,
jerk,4997,5,NN,
stfreaku,4524,1,NNP,
drag,8105,2,VBP,NN,
prom,3397,2,VB,NN,
remind,3812,10,VBP,VB,
boards,1422,5,NNS,
verbal,7935,1,JJ,
caps,5345,1,NNS,
fixing,7677,2,VBG,
snoop,10330,1,JJ,
brother,687,5,NN,
parses,7437,1,VBZ,
explanations,10014,1,NNS,
2know,4904,1,RB,
succeeding,1167,1,VBG,
kendall,718,1,NNP,
connected,4706,3,VBN,
posts,6486,1,NNS,
finishing,4713,2,VBG,
extols,6330,1,VBZ,
concerns,5531,1,NNS,
#thatshitidontlike,4333,1,JJ,
contrast,1650,3,NN,
sherman,3928,1,NNP,
snort,675,1,VB,
stooge,10519,1,VB,
shivers,7755,1,NNS,
cain,548,1,NNP,
#rumplemittskin,8529,1,JJ,
fund,5163,3,NN,VB,
drew,8396,1,VBD,
sure,131,67,JJ,RB,NNP,
nonelected,10573,1,
romneyobamacare,1456,1,
nasty,8675,1,JJ,
nooooo,3638,4,NNP,RB,
wants,646,143,VBZ,NNP,
